sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
BV3-0001,1215,329,0,447,439,0,2,1
BV3-0002,1085,286,5,357,437,0,2,1
BV3-0003,757,217,0,109,431,0,12,1
BV3-0004,1188,303,0,443,442,0,2,1
BV3-0005,1256,334,0,481,441,0,2,1
BV3-0006,992,253,0,300,439,0,2,1
BV3-0007,983,251,0,294,438,0,2,1
BV3-0008,1190,320,7,410,453,0,1,2
BV3-0009,1315,369,0,491,455,0,1,1
BV3-0010,1942,615,0,866,461,0,1,1
BV3-0011,1190,320,7,410,453,0,1,1
BV3-0012,757,217,0,109,431,0,12,1
BV3-0013,978,252,0,289,437,0,2,1
BV3-0014,757,217,0,109,431,0,12,1
BV3-0015,1044,258,0,347,439,0,2,1
BV3-0016,1361,398,0,509,454,0,1,1
BV3-0017,1005,255,2,310,438,2,39,1
BV3-0018,1030,260,2,329,439,2,42,1
BV3-0019,1170,320,2,353,495,2,42,0
BV3-0020,1049,261,0,349,439,0,2,1
BV3-0021,1264,341,0,483,440,0,2,1
BV3-0022,982,251,0,293,438,0,2,1
BV3-0023,1263,341,0,481,441,0,2,1
BV3-0024,1004,255,0,311,438,0,2,1
BV3-0025,1169,321,0,397,451,0,2,3
BV3-0026,1190,322,7,408,453,0,1,1
BV3-0027,972,249,0,286,437,0,2,1
BV3-0028,977,252,0,288,437,0,2,1
BV3-0029,878,235,1,209,433,0,2,1
BV3-0030,1153,308,2,384,459,2,42,0
BV3-0031,1119,293,0,388,438,0,2,1
BV3-0032,997,256,2,300,439,2,42,2
BV3-0033,757,217,0,109,431,0,12,1
BV3-0034,972,249,0,286,437,0,2,1
BV3-0035,914,242,0,223,449,0,1,3
BV3-0036,1525,453,1,615,456,1,48,1
BV3-0037,1192,324,0,415,453,0,1,1
BV3-0038,1149,316,7,389,437,0,2,1
BV3-0039,757,217,0,109,431,0,12,1
BV3-0040,1022,257,2,324,439,2,42,1
BV3-0041,972,249,0,286,437,0,2,1
BV3-0042,773,219,0,109,445,0,12,1
BV3-0043,1088,304,1,348,435,1,24,0
BV3-0044,922,240,3,244,435,2,30,1
BV3-0045,1088,304,0,349,435,0,1,1
BV3-0046,1020,256,0,324,440,0,2,1
BV3-0047,1199,324,7,429,439,0,2,1
BV3-0048,1020,278,1,292,449,1,23,4
BV3-0049,1444,417,0,571,456,0,1,1
BV3-0050,1717,515,0,743,459,0,1,1
BV3-0051,1572,498,0,636,438,0,51,1
BV3-0052,977,252,2,286,437,2,36,1
BV3-0053,878,235,1,209,433,0,2,1
BV3-0054,983,251,0,294,438,0,2,1
BV3-0055,1394,403,0,536,455,0,1,1
BV3-0056,1005,255,2,310,438,2,39,1
BV3-0057,972,249,0,286,437,0,2,1
BV3-0058,972,249,0,286,437,0,2,1
BV3-0059,1590,464,0,683,443,0,2,1
BV3-0060,893,241,1,217,434,1,20,1
BV3-0061,1618,505,0,658,455,0,1,3
BV3-0062,1188,321,7,407,453,0,1,1
BV3-0063,2159,728,0,971,460,0,1,1
BV3-0064,987,254,2,293,438,2,39,1
BV3-0065,1404,403,0,521,480,0,2,1
BV3-0066,972,249,0,286,437,0,2,1
BV3-0067,757,217,0,109,431,0,12,1
BV3-0068,1563,479,1,627,456,1,44,2
BV3-0069,757,217,0,109,431,0,12,3
BV3-0070,896,237,0,225,434,0,2,1
BV3-0071,948,244,1,267,436,0,2,1
BV3-0072,893,241,1,217,434,1,20,1
BV3-0073,972,249,0,286,437,0,2,1
BV3-0074,1154,295,5,400,454,0,1,2
BV3-0075,1178,322,0,404,452,0,2,1
BV3-0076,1515,466,1,593,455,1,41,1
BV3-0077,867,252,0,185,430,0,8,1
BV3-0078,954,247,0,271,436,0,2,1
BV3-0079,873,256,0,188,429,0,9,1
BV3-0080,1336,428,1,346,561,1,32,1
BV3-0081,1363,399,0,510,454,0,1,1
BV3-0082,1117,295,2,361,459,2,42,0
BV3-0083,1086,286,5,358,437,0,2,1
BV3-0084,977,252,2,286,437,2,36,1
BV3-0085,869,254,0,184,431,0,11,1
BV3-0086,877,254,0,192,431,0,11,1
BV3-0087,1804,577,0,770,457,0,1,3
BV3-0088,1012,278,1,284,449,1,23,1
BV3-0089,937,239,1,247,450,0,1,1
BV3-0090,1530,447,0,621,462,0,2,1
BV3-0091,978,252,2,287,437,2,36,1
BV3-0092,897,238,3,222,434,2,27,1
BV3-0093,824,229,0,161,434,0,1,1
BV3-0094,753,215,0,95,443,0,6,1
BV3-0095,1108,308,1,362,437,1,30,1
BV3-0096,978,252,2,287,437,2,36,1
BV3-0097,973,249,0,287,437,0,2,1
BV3-0098,1610,479,2,685,444,2,60,1
BV3-0099,955,247,0,272,436,0,2,1
BV3-0100,1943,602,1,880,460,1,57,4
BV3-0101,1170,319,7,392,452,0,1,1
BV3-0102,1983,660,0,867,456,0,1,1
BV3-0103,867,252,0,185,430,0,8,1
BV3-0104,1005,256,2,308,439,2,42,2
BV3-0105,757,217,0,109,431,0,12,1
BV3-0106,1028,258,0,329,441,0,2,1
BV3-0107,1215,324,7,430,454,0,1,1
BV3-0108,1104,276,2,384,442,2,51,1
BV3-0109,954,247,0,271,436,0,2,1
BV3-0110,1202,325,0,438,439,0,2,1
BV3-0111,870,236,0,201,433,0,1,1
BV3-0112,978,252,2,287,437,2,36,1
BV3-0113,1750,549,0,744,457,0,1,3
BV3-0114,1486,445,0,586,455,0,1,1
BV3-0115,1095,285,0,358,452,0,1,1
BV3-0116,1276,337,9,488,442,2,51,1
BV3-0117,955,247,0,272,436,0,2,1
BV3-0118,972,249,0,286,437,0,2,1
BV3-0119,928,241,1,251,435,0,2,1
BV3-0120,909,243,1,217,448,1,20,1
BV3-0121,757,217,0,109,431,0,12,3
BV3-0122,1748,578,0,731,439,0,55,1
BV3-0123,983,251,0,294,438,0,2,1
BV3-0124,893,241,1,217,434,1,20,1
BV3-0126,1705,542,0,707,456,0,1,3
BV3-0127,1517,449,0,612,456,0,1,1
BV3-0128,1243,329,7,452,455,0,1,1
BV3-0129,1375,381,0,551,443,0,2,1
BV3-0130,745,215,0,100,430,0,8,1
BV3-0131,1260,317,0,498,445,0,2,1
BV3-0132,1004,255,2,309,438,2,39,1
BV3-0133,1689,520,0,711,458,0,1,1
BV3-0134,1096,285,2,371,438,2,39,0
BV3-0135,1025,255,0,331,439,0,2,1
BV3-0136,977,252,2,286,437,2,36,1
BV3-0137,1260,334,0,485,441,0,2,1
BV3-0138,954,247,0,271,436,0,2,1
BV3-0139,1322,370,0,498,454,0,1,3
BV3-0140,1439,390,1,588,460,1,60,2
BV3-0141,1202,326,0,422,454,0,1,1
BV3-0142,1610,520,0,651,439,0,46,1
BV3-0143,853,229,2,189,433,0,1,1
BV3-0144,1003,255,2,308,438,2,39,1
BV3-0145,992,252,0,302,438,0,2,1
BV3-0146,937,239,1,247,450,0,1,1
BV3-0147,1368,370,2,553,443,2,54,1
BV3-0148,977,252,2,286,437,2,36,1
BV3-0149,973,249,0,287,437,0,2,1
BV3-0150,1665,481,0,739,445,0,2,1
BV3-0151,867,252,0,185,430,0,8,1
BV3-0152,1207,304,5,442,456,0,1,4
BV3-0153,1550,474,0,621,455,0,1,1
BV3-0154,1363,399,0,510,454,0,1,1
BV3-0155,1207,326,0,442,439,0,2,1
BV3-0156,1014,257,2,316,439,2,42,1
BV3-0157,1225,330,0,455,440,0,2,1
BV3-0158,1502,448,0,598,456,0,1,1
BV3-0159,1000,252,2,308,438,2,39,0
BV3-0160,1023,257,2,325,439,2,42,1
