sample_id,expected_malicious,any_network,source_and_network,any_taint_chain
BV3-0001,True,True,True,True
BV3-0002,True,True,True,True
BV3-0003,True,True,False,False
BV3-0004,True,True,True,True
BV3-0005,True,True,True,True
BV3-0006,True,True,True,True
BV3-0007,True,True,True,True
BV3-0008,True,True,True,True
BV3-0009,True,True,True,True
BV3-0010,True,True,True,True
BV3-0011,True,True,True,True
BV3-0012,True,True,False,False
BV3-0013,True,True,True,True
BV3-0014,True,True,False,False
BV3-0015,True,True,True,True
BV3-0016,True,True,True,True
BV3-0017,True,True,True,True
BV3-0018,True,True,True,True
BV3-0019,True,True,True,True
BV3-0020,True,True,True,True
BV3-0021,True,True,True,True
BV3-0022,True,True,True,True
BV3-0023,True,True,True,True
BV3-0024,True,True,True,True
BV3-0025,True,True,True,True
BV3-0026,True,True,True,True
BV3-0027,True,True,True,True
BV3-0028,True,True,True,True
BV3-0029,True,True,True,True
BV3-0030,True,True,True,True
BV3-0031,True,True,True,True
BV3-0032,True,True,True,True
BV3-0033,True,True,False,False
BV3-0034,True,True,True,True
BV3-0035,True,True,True,True
BV3-0036,True,True,True,True
BV3-0037,True,True,True,True
BV3-0038,True,True,True,True
BV3-0039,True,True,False,False
BV3-0040,True,True,True,True
BV3-0041,True,True,True,True
BV3-0042,True,True,False,False
BV3-0043,True,True,True,True
BV3-0044,True,True,True,True
BV3-0045,True,True,True,True
BV3-0046,True,True,True,True
BV3-0047,True,True,True,True
BV3-0048,True,True,True,True
BV3-0049,True,True,True,True
BV3-0050,True,True,True,True
BV3-0051,True,True,True,False
BV3-0052,True,True,True,True
BV3-0053,True,True,True,True
BV3-0054,True,True,True,True
BV3-0055,True,True,True,True
BV3-0056,True,True,True,True
BV3-0057,True,True,True,True
BV3-0058,True,True,True,True
BV3-0059,True,True,True,True
BV3-0060,True,True,True,True
BV3-0061,True,True,True,True
BV3-0062,True,True,True,True
BV3-0063,True,True,True,True
BV3-0064,True,True,True,True
BV3-0065,True,True,True,True
BV3-0066,True,True,True,True
BV3-0067,True,True,False,False
BV3-0068,True,True,True,True
BV3-0069,True,True,False,False
BV3-0070,True,True,True,True
BV3-0071,True,True,True,True
BV3-0072,True,True,True,True
BV3-0073,True,True,True,True
BV3-0074,True,True,True,True
BV3-0075,True,True,True,True
BV3-0076,True,True,True,True
BV3-0077,True,True,False,False
BV3-0078,True,True,True,True
BV3-0079,True,True,False,False
BV3-0080,True,True,True,True
BV3-0081,True,True,True,True
BV3-0082,True,True,True,True
BV3-0083,True,True,True,True
BV3-0084,True,True,True,True
BV3-0085,True,True,False,False
BV3-0086,True,True,False,False
BV3-0087,True,True,True,True
BV3-0088,True,True,True,True
BV3-0089,True,True,True,True
BV3-0090,True,True,True,True
BV3-0091,True,True,True,True
BV3-0092,True,True,True,True
BV3-0093,True,True,True,True
BV3-0094,True,True,False,False
BV3-0095,True,True,True,True
BV3-0096,True,True,True,True
BV3-0097,True,True,True,True
BV3-0098,True,True,True,True
BV3-0099,True,True,True,True
BV3-0100,True,True,True,True
BV3-0101,True,True,True,True
BV3-0102,True,True,True,True
BV3-0103,True,True,False,False
BV3-0104,True,True,True,True
BV3-0105,True,True,False,False
BV3-0106,True,True,True,True
BV3-0107,True,True,True,True
BV3-0108,True,True,True,True
BV3-0109,True,True,True,True
BV3-0110,True,True,True,True
BV3-0111,True,True,True,True
BV3-0112,True,True,True,True
BV3-0113,True,True,True,True
BV3-0114,True,True,True,True
BV3-0115,True,True,True,True
BV3-0116,True,True,True,True
BV3-0117,True,True,True,True
BV3-0118,True,True,True,True
BV3-0119,True,True,True,True
BV3-0120,True,True,True,True
BV3-0121,True,True,False,False
BV3-0122,True,True,True,False
BV3-0123,True,True,True,True
BV3-0124,True,True,True,True
BV3-0126,True,True,True,True
BV3-0127,True,True,True,True
BV3-0128,True,True,True,True
BV3-0129,True,True,True,True
BV3-0130,True,True,False,False
BV3-0131,True,True,True,True
BV3-0132,True,True,True,True
BV3-0133,True,True,True,True
BV3-0134,True,True,True,True
BV3-0135,True,True,True,True
BV3-0136,True,True,True,True
BV3-0137,True,True,True,True
BV3-0138,True,True,True,True
BV3-0139,True,True,True,True
BV3-0140,True,True,True,True
BV3-0141,True,True,True,True
BV3-0142,True,True,True,False
BV3-0143,True,True,True,True
BV3-0144,True,True,True,True
BV3-0145,True,True,True,True
BV3-0146,True,True,True,True
BV3-0147,True,True,True,True
BV3-0148,True,True,True,True
BV3-0149,True,True,True,True
BV3-0150,True,True,True,True
BV3-0151,True,True,False,False
BV3-0152,True,True,True,True
BV3-0153,True,True,True,True
BV3-0154,True,True,True,True
BV3-0155,True,True,True,True
BV3-0156,True,True,True,True
BV3-0157,True,True,True,True
BV3-0158,True,True,True,True
BV3-0159,True,True,True,True
BV3-0160,True,True,True,True
BV3-0161,True,True,True,True
BV3-0162,True,True,True,True
BV3-0163,True,True,False,False
BV3-0164,True,True,True,True
BV3-0165,True,True,True,True
BV3-0166,True,True,True,True
BV3-0167,True,True,True,True
BV3-0168,True,True,True,True
BV3-0169,True,True,True,True
BV3-0170,True,True,True,True
BV3-0171,True,True,True,True
BV3-0172,True,True,True,True
BV3-0173,True,True,True,True
BV3-0174,True,True,True,True
BV3-0175,True,True,True,True
BV3-0176,True,True,True,True
BV3-0177,True,True,True,True
BV3-0178,True,True,True,True
BV3-0179,True,True,True,True
BV3-0180,True,True,True,True
BV3-0181,True,True,True,True
BV3-0182,True,True,True,True
BV3-0183,True,True,False,False
BV3-0184,True,True,True,True
BV3-0185,True,True,False,False
BV3-0186,True,True,False,False
BV3-0187,True,True,False,False
BV3-0188,True,True,False,False
BV3-0189,True,True,False,False
BV3-0190,True,True,True,True
BV3-0191,True,True,True,True
BV3-0192,True,True,True,True
BV3-0193,True,True,False,False
BV3-0194,True,True,False,False
BV3-0195,True,True,True,True
BV3-0196,True,True,True,True
BV3-0197,True,True,True,True
BV3-0198,True,True,True,True
BV3-0199,True,True,True,True
BV3-0200,True,True,True,True
BV3-0201,True,True,True,True
BV3-0202,True,True,False,False
BV3-0203,True,True,True,True
BV3-0204,True,True,True,True
BV3-0205,True,True,True,True
BV3-0206,True,True,True,True
BV3-0207,True,True,True,True
BV3-0208,True,True,True,True
BV3-0209,True,True,True,True
BV3-0210,True,True,True,True
BV3-0211,True,True,True,True
BV3-0212,True,True,True,True
BV3-0213,True,True,True,True
BV3-0214,True,True,True,True
