pair_id,sample_ids,gt_labels,predictions,category
CF-REV-0001,BV3-0001;BV3-0401,"{""BV3-0001"": ""malicious"", ""BV3-0401"": ""benign""}","{""BV3-0001"": ""malicious"", ""BV3-0401"": ""benign""}",consistent_or_mixed
CF-REV-0002,BV3-0002;BV3-0414,"{""BV3-0002"": ""malicious"", ""BV3-0414"": ""benign""}","{""BV3-0002"": ""malicious"", ""BV3-0414"": ""benign""}",consistent_or_mixed
CF-REV-0003,BV3-0021;BV3-0427,"{""BV3-0021"": ""malicious"", ""BV3-0427"": ""benign""}","{""BV3-0021"": ""malicious"", ""BV3-0427"": ""benign""}",consistent_or_mixed
CF-REV-0004,BV3-0022;BV3-0440,"{""BV3-0022"": ""malicious"", ""BV3-0440"": ""benign""}","{""BV3-0022"": ""malicious"", ""BV3-0440"": ""benign""}",consistent_or_mixed
CF-REV-0005,BV3-0031;BV3-0453,"{""BV3-0031"": ""malicious"", ""BV3-0453"": ""benign""}","{""BV3-0031"": ""malicious"", ""BV3-0453"": ""benign""}",consistent_or_mixed
CF-REV-0006,BV3-0044;BV3-0466,"{""BV3-0044"": ""malicious"", ""BV3-0466"": ""benign""}","{""BV3-0044"": ""malicious"", ""BV3-0466"": ""benign""}",consistent_or_mixed
CF-REV-0007,BV3-0057;BV3-0479,"{""BV3-0057"": ""malicious"", ""BV3-0479"": ""benign""}","{""BV3-0057"": ""malicious"", ""BV3-0479"": ""benign""}",consistent_or_mixed
CF-REV-0011,BV3-0109;BV3-0531,"{""BV3-0109"": ""malicious"", ""BV3-0531"": ""benign""}","{""BV3-0109"": ""malicious"", ""BV3-0531"": ""benign""}",consistent_or_mixed
CF-REV-0012,BV3-0122;BV3-0544,"{""BV3-0122"": ""malicious"", ""BV3-0544"": ""benign""}","{""BV3-0122"": ""malicious"", ""BV3-0544"": ""benign""}",consistent_or_mixed
CF-REV-0013,BV3-0135;BV3-0557,"{""BV3-0135"": ""malicious"", ""BV3-0557"": ""benign""}","{""BV3-0135"": ""malicious"", ""BV3-0557"": ""benign""}",consistent_or_mixed
CF-REV-0014,BV3-0148;BV3-0570,"{""BV3-0148"": ""malicious"", ""BV3-0570"": ""benign""}","{""BV3-0148"": ""malicious"", ""BV3-0570"": ""benign""}",consistent_or_mixed
CF-REV-0015,BV3-0003;BV3-0402,"{""BV3-0003"": ""malicious"", ""BV3-0402"": ""benign""}","{""BV3-0003"": ""malicious"", ""BV3-0402"": ""benign""}",consistent_or_mixed
CF-REV-0016,BV3-0020;BV3-0415,"{""BV3-0020"": ""malicious"", ""BV3-0415"": ""benign""}","{""BV3-0020"": ""malicious"", ""BV3-0415"": ""benign""}",consistent_or_mixed
CF-REV-0017,BV3-0023;BV3-0428,"{""BV3-0023"": ""malicious"", ""BV3-0428"": ""benign""}","{""BV3-0023"": ""malicious"", ""BV3-0428"": ""benign""}",consistent_or_mixed
CF-REV-0018,BV3-0032;BV3-0441,"{""BV3-0032"": ""malicious"", ""BV3-0441"": ""benign""}","{""BV3-0032"": ""malicious"", ""BV3-0441"": ""benign""}",consistent_or_mixed
CF-REV-0019,BV3-0045;BV3-0454,"{""BV3-0045"": ""malicious"", ""BV3-0454"": ""benign""}","{""BV3-0045"": ""benign"", ""BV3-0454"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0020,BV3-0058;BV3-0467,"{""BV3-0058"": ""malicious"", ""BV3-0467"": ""benign""}","{""BV3-0058"": ""malicious"", ""BV3-0467"": ""benign""}",consistent_or_mixed
CF-REV-0021,BV3-0071;BV3-0480,"{""BV3-0071"": ""malicious"", ""BV3-0480"": ""benign""}","{""BV3-0071"": ""malicious"", ""BV3-0480"": ""benign""}",consistent_or_mixed
CF-REV-0022,BV3-0084;BV3-0493,"{""BV3-0084"": ""malicious"", ""BV3-0493"": ""benign""}","{""BV3-0084"": ""malicious"", ""BV3-0493"": ""benign""}",consistent_or_mixed
CF-REV-0025,BV3-0123;BV3-0532,"{""BV3-0123"": ""malicious"", ""BV3-0532"": ""benign""}","{""BV3-0123"": ""malicious"", ""BV3-0532"": ""benign""}",consistent_or_mixed
CF-REV-0026,BV3-0136;BV3-0545,"{""BV3-0136"": ""malicious"", ""BV3-0545"": ""benign""}","{""BV3-0136"": ""malicious"", ""BV3-0545"": ""benign""}",consistent_or_mixed
CF-REV-0027,BV3-0004;BV3-0403,"{""BV3-0004"": ""malicious"", ""BV3-0403"": ""benign""}","{""BV3-0004"": ""malicious"", ""BV3-0403"": ""benign""}",consistent_or_mixed
CF-REV-0028,BV3-0005;BV3-0416,"{""BV3-0005"": ""malicious"", ""BV3-0416"": ""benign""}","{""BV3-0005"": ""malicious"", ""BV3-0416"": ""benign""}",consistent_or_mixed
CF-REV-0030,BV3-0033;BV3-0442,"{""BV3-0033"": ""malicious"", ""BV3-0442"": ""benign""}","{""BV3-0033"": ""malicious"", ""BV3-0442"": ""benign""}",consistent_or_mixed
