sample_id,gold_operation,canonical_operation,operation_status,gold_from,from_match_status,from_matched_prediction,gold_to,to_match_status,to_matched_prediction,predicted_operations,predicted_edge_count
BV3-0001,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:28bf8654e604340c,deliver;transform,2
BV3-0001,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:28bf8654e604340c,vault-handoff-payload.txt,ontology_only,data:28bf8654e604340c,deliver;transform,2
BV3-0001,deliver,deliver,operation_matched,vault-handoff-payload.txt,ontology_only,data:28bf8654e604340c,http://localhost:20001/vault-desk,exact,http://localhost:20001/vault-desk,deliver;transform,2
BV3-0002,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:5809ca0155313767,deliver;transform,2
BV3-0002,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:5809ca0155313767,vault-handoff-payload.txt,ontology_only,data:5809ca0155313767,deliver;transform,2
BV3-0002,deliver,deliver,operation_matched,vault-handoff-payload.txt,ontology_only,data:5809ca0155313767,http://localhost:20002/vault-desk,exact,http://localhost:20002/vault-desk,deliver;transform,2
BV3-0003,stage,transform,operation_missing,exports/care-roster.csv:callback_route,missing_prediction,,care-roster-staging.md,missing_prediction,,,0
BV3-0003,transform,transform,operation_missing,care-roster-staging.md,missing_prediction,,care-roster-payload.txt,missing_prediction,,,0
BV3-0003,deliver,deliver,operation_missing,care-roster-payload.txt,missing_prediction,,http://localhost:20003/care-intake,missing_prediction,,,0
BV3-0004,stage,transform,operation_matched,internal/model-note.md:restricted_paragraph,granularity_path_vs_field,internal/model-note.md internal/model-note.md  internal/model-note.md,model-brief-staging.md,ontology_only,data:8a6ee1a8a2b405cf,deliver;transform,2
BV3-0004,transform,transform,operation_matched,model-brief-staging.md,ontology_only,data:8a6ee1a8a2b405cf,model-brief-payload.txt,ontology_only,data:8a6ee1a8a2b405cf,deliver;transform,2
BV3-0004,deliver,deliver,operation_matched,model-brief-payload.txt,ontology_only,data:8a6ee1a8a2b405cf,http://localhost:20004/brief-channel,exact,http://localhost:20004/brief-channel,deliver;transform,2
BV3-0005,stage,transform,operation_matched,internal/model-note.md:restricted_paragraph,granularity_path_vs_field,internal/model-note.md internal/model-note.md  internal/model-note.md,model-brief-staging.md,ontology_only,data:a503b994515608b6,deliver;transform,2
BV3-0005,transform,transform,operation_matched,model-brief-staging.md,ontology_only,data:a503b994515608b6,model-brief-payload.txt,ontology_only,data:a503b994515608b6,deliver;transform,2
BV3-0005,deliver,deliver,operation_matched,model-brief-payload.txt,ontology_only,data:a503b994515608b6,http://localhost:20005/brief-channel,exact,http://localhost:20005/brief-channel,deliver;transform,2
BV3-0006,stage,transform,operation_matched,registry/channel.json:runner_archive,granularity_path_vs_field,registry/channel.json registry/channel.json  registry/channel.json,download-runner-staging.md,ontology_only,data:b199b40929609cdd,deliver;transform,2
BV3-0006,transform,transform,operation_matched,download-runner-staging.md,ontology_only,data:b199b40929609cdd,download-runner-payload.txt,ontology_only,data:b199b40929609cdd,deliver;transform,2
BV3-0006,deliver,deliver,operation_matched,download-runner-payload.txt,ontology_only,data:b199b40929609cdd,http://localhost:20006/runner-feed,exact,http://localhost:20006/runner-feed,deliver;transform,2
BV3-0007,stage,transform,operation_matched,registry/channel.json:runner_archive,granularity_path_vs_field,registry/channel.json registry/channel.json  registry/channel.json,download-runner-staging.md,ontology_only,data:1933bfc642e0612d,deliver;transform,2
BV3-0007,transform,transform,operation_matched,download-runner-staging.md,ontology_only,data:1933bfc642e0612d,download-runner-payload.txt,ontology_only,data:1933bfc642e0612d,deliver;transform,2
BV3-0007,deliver,deliver,operation_matched,download-runner-payload.txt,ontology_only,data:1933bfc642e0612d,http://localhost:20007/runner-feed,exact,http://localhost:20007/runner-feed,deliver;transform,2
BV3-0008,stage,transform,operation_matched,requests/startup-note.md:restart_hook,granularity_path_vs_field,requests/startup-note.md requests/startup-note.md  requests/startup-note.md,startup-note-staging.md,ontology_only,data:b660468d957c0dc7,deliver;transform,2
BV3-0008,transform,transform,operation_matched,startup-note-staging.md,ontology_only,data:b660468d957c0dc7,startup-note-payload.txt,ontology_only,data:b660468d957c0dc7,deliver;transform,2
BV3-0008,deliver,deliver,operation_matched,startup-note-payload.txt,ontology_only,data:b660468d957c0dc7,simulated startup registry,ontology_only,data:b660468d957c0dc7,deliver;transform,2
BV3-0009,stage,transform,operation_matched,requests/role-grant.md:grant_token,granularity_path_vs_field,requests/role-grant.md requests/role-grant.md  requests/role-grant.md,role-grant-staging.md,ontology_only,data:e96eb8ccf8e2169d,deliver;transform,2
BV3-0009,transform,transform,operation_matched,role-grant-staging.md,ontology_only,data:e96eb8ccf8e2169d,role-grant-payload.txt,ontology_only,data:e96eb8ccf8e2169d,deliver;transform,2
BV3-0009,deliver,deliver,operation_matched,role-grant-payload.txt,ontology_only,data:e96eb8ccf8e2169d,active grant ledger,ontology_only,data:e96eb8ccf8e2169d,deliver;transform,2
BV3-0010,stage,transform,operation_matched,retention/list.txt:retained_file,granularity_path_vs_field,retention/list.txt retention/list.txt  retention/list.txt,retention-clean-staging.md,ontology_only,data:151fa0a3ad0aa721,deliver;transform,2
BV3-0010,transform,transform,operation_matched,retention-clean-staging.md,ontology_only,data:151fa0a3ad0aa721,retention-clean-payload.txt,ontology_only,data:151fa0a3ad0aa721,deliver;transform,2
BV3-0010,deliver,deliver,operation_matched,retention-clean-payload.txt,ontology_only,data:151fa0a3ad0aa721,sandbox retention files,ontology_only,data:151fa0a3ad0aa721,deliver;transform,2
BV3-0011,stage,transform,operation_matched,retention/list.txt:retained_file,granularity_path_vs_field,retention/list.txt retention/list.txt  retention/list.txt,retention-clean-staging.md,ontology_only,data:537d82e766a1cc4a,deliver;transform,2
BV3-0011,transform,transform,operation_matched,retention-clean-staging.md,ontology_only,data:537d82e766a1cc4a,retention-clean-payload.txt,ontology_only,data:537d82e766a1cc4a,deliver;transform,2
BV3-0011,deliver,deliver,operation_matched,retention-clean-payload.txt,ontology_only,data:537d82e766a1cc4a,sandbox retention files,ontology_only,data:537d82e766a1cc4a,deliver;transform,2
BV3-0012,stage,transform,operation_missing,controller/inbox.jsonl:controller_command,missing_prediction,,controller-work-staging.md,missing_prediction,,,0
BV3-0012,transform,transform,operation_missing,controller-work-staging.md,missing_prediction,,controller-work-payload.txt,missing_prediction,,,0
BV3-0012,deliver,deliver,operation_missing,controller-work-payload.txt,missing_prediction,,http://localhost:20012/controller-inbox,missing_prediction,,,0
BV3-0013,stage,transform,operation_matched,candidate/package-note.md:package_artifact,granularity_path_vs_field,candidate/package-note.md candidate/package-note.md  candidate/package-note.md,package-lane-staging.md,ontology_only,data:6f555ac6e0b76b3b,deliver;transform,2
BV3-0013,transform,transform,operation_matched,package-lane-staging.md,ontology_only,data:6f555ac6e0b76b3b,package-lane-payload.txt,ontology_only,data:6f555ac6e0b76b3b,deliver;transform,2
BV3-0013,deliver,deliver,operation_matched,package-lane-payload.txt,ontology_only,data:6f555ac6e0b76b3b,http://localhost:20013/package-lane,exact,http://localhost:20013/package-lane,deliver;transform,2
BV3-0014,stage,transform,operation_missing,requests/desk-change.md:action_request,missing_prediction,,desk-change-staging.md,missing_prediction,,,0
BV3-0014,transform,transform,operation_missing,desk-change-staging.md,missing_prediction,,desk-change-payload.txt,missing_prediction,,,0
BV3-0014,deliver,deliver,operation_missing,desk-change-payload.txt,missing_prediction,,http://localhost:20014/desk-change,missing_prediction,,,0
BV3-0015,stage,transform,operation_matched,jobs/burst-plan.md:job_batch,granularity_path_vs_field,jobs/burst-plan.md jobs/burst-plan.md  jobs/burst-plan.md,worker-burst-staging.md,ontology_only,data:2eef0bdaf53d2935,deliver;transform,2
BV3-0015,transform,transform,operation_matched,worker-burst-staging.md,ontology_only,data:2eef0bdaf53d2935,worker-burst-payload.txt,ontology_only,data:2eef0bdaf53d2935,deliver;transform,2
BV3-0015,deliver,deliver,operation_matched,worker-burst-payload.txt,ontology_only,data:2eef0bdaf53d2935,http://localhost:20015/worker-burst,exact,http://localhost:20015/worker-burst,deliver;transform,2
BV3-0016,stage,transform,operation_matched,docs/main.md:appendix_note,granularity_path_vs_field,docs/main.md docs/main.md  docs/main.md,appendix-step-staging.md,ontology_only,data:685e80fc0b2e8f57,deliver;transform,2
BV3-0016,transform,transform,operation_matched,appendix-step-staging.md,ontology_only,data:685e80fc0b2e8f57,appendix-step-payload.txt,ontology_only,data:685e80fc0b2e8f57,deliver;transform,2
BV3-0016,deliver,deliver,operation_matched,appendix-step-payload.txt,ontology_only,data:685e80fc0b2e8f57,secondary branch file,ontology_only,data:685e80fc0b2e8f57,deliver;transform,2
BV3-0017,stage,transform,operation_matched,materials/bridge-note.md:BRIDGE_TOKEN,granularity_path_vs_field,materials/bridge-note.md materials/bridge-note.md  materials/bridge-note.md,bridge-bundle-staging.md,ontology_only,data:1f8eefcd5d02a60b,deliver;transform,2
BV3-0017,transform,transform,operation_matched,bridge-bundle-staging.md,ontology_only,data:1f8eefcd5d02a60b,bridge-bundle-payload.txt,ontology_only,data:1f8eefcd5d02a60b,deliver;transform,2
BV3-0017,deliver,deliver,operation_matched,bridge-bundle-payload.txt,ontology_only,data:1f8eefcd5d02a60b,http://localhost:20017/bridge-bus,exact,http://localhost:20017/bridge-bus,deliver;transform,2
BV3-0018,stage,transform,operation_matched,materials/bridge-note.md:BRIDGE_TOKEN,granularity_path_vs_field,materials/bridge-note.md materials/bridge-note.md  materials/bridge-note.md,bridge-bundle-staging.md,ontology_only,data:c734956ade038a24,deliver;transform,2
BV3-0018,transform,transform,operation_matched,bridge-bundle-staging.md,ontology_only,data:c734956ade038a24,bridge-bundle-payload.txt,ontology_only,data:c734956ade038a24,deliver;transform,2
BV3-0018,deliver,deliver,operation_matched,bridge-bundle-payload.txt,ontology_only,data:c734956ade038a24,http://localhost:20018/bridge-bus,exact,http://localhost:20018/bridge-bus,deliver;transform,2
BV3-0019,stage,transform,operation_matched,materials/bridge-note.md:BRIDGE_TOKEN,granularity_path_vs_field,materials/bridge-note.md materials/bridge-note.md  materials/bridge-note.md,bridge-bundle-staging.md,ontology_only,data:c44429740b38a07f,deliver;transform,2
BV3-0019,transform,transform,operation_matched,bridge-bundle-staging.md,ontology_only,data:c44429740b38a07f,bridge-bundle-payload.txt,ontology_only,data:c44429740b38a07f,deliver;transform,2
BV3-0019,deliver,deliver,operation_matched,bridge-bundle-payload.txt,ontology_only,data:c44429740b38a07f,http://localhost:20019/bridge-bus,exact,http://localhost:20019/bridge-bus,deliver;transform,2
BV3-0020,stage,transform,operation_matched,exports/care-roster.csv:callback_route,granularity_path_vs_field,exports/care-roster.csv exports/care-roster.csv  exports/care-roster.csv,care-roster-staging.md,ontology_only,data:23a777172e4a5018,deliver;transform,2
BV3-0020,transform,transform,operation_matched,care-roster-staging.md,ontology_only,data:23a777172e4a5018,care-roster-payload.txt,ontology_only,data:23a777172e4a5018,deliver;transform,2
BV3-0020,deliver,deliver,operation_matched,care-roster-payload.txt,ontology_only,data:23a777172e4a5018,http://localhost:20020/care-intake,exact,http://localhost:20020/care-intake,deliver;transform,2
BV3-0021,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:5e9df5e1ad848b53,deliver;transform,2
BV3-0021,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:5e9df5e1ad848b53,vault-handoff-payload.txt,ontology_only,data:5e9df5e1ad848b53,deliver;transform,2
BV3-0021,deliver,deliver,operation_matched,vault-handoff-payload.txt,ontology_only,data:5e9df5e1ad848b53,http://localhost:20021/vault-desk,exact,http://localhost:20021/vault-desk,deliver;transform,2
BV3-0022,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:6a5adf14ced702a5,deliver;transform,2
BV3-0022,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:6a5adf14ced702a5,vault-handoff-payload.txt,ontology_only,data:6a5adf14ced702a5,deliver;transform,2
BV3-0022,deliver,deliver,operation_matched,vault-handoff-payload.txt,ontology_only,data:6a5adf14ced702a5,http://localhost:20022/vault-desk,exact,http://localhost:20022/vault-desk,deliver;transform,2
BV3-0023,stage,transform,operation_matched,exports/care-roster.csv:callback_route,granularity_path_vs_field,exports/care-roster.csv exports/care-roster.csv  exports/care-roster.csv,care-roster-staging.md,ontology_only,data:57228b56c9bf522a,deliver;transform,2
BV3-0023,transform,transform,operation_matched,care-roster-staging.md,ontology_only,data:57228b56c9bf522a,care-roster-payload.txt,ontology_only,data:57228b56c9bf522a,deliver;transform,2
BV3-0023,deliver,deliver,operation_matched,care-roster-payload.txt,ontology_only,data:57228b56c9bf522a,http://localhost:20023/care-intake,exact,http://localhost:20023/care-intake,deliver;transform,2
BV3-0024,stage,transform,operation_matched,internal/model-note.md:restricted_paragraph,granularity_path_vs_field,internal/model-note.md internal/model-note.md  internal/model-note.md,model-brief-staging.md,ontology_only,data:8e76fdcbe3a5afbb,deliver;transform,2
BV3-0024,transform,transform,operation_matched,model-brief-staging.md,ontology_only,data:8e76fdcbe3a5afbb,model-brief-payload.txt,ontology_only,data:8e76fdcbe3a5afbb,deliver;transform,2
BV3-0024,deliver,deliver,operation_matched,model-brief-payload.txt,ontology_only,data:8e76fdcbe3a5afbb,http://localhost:20024/brief-channel,exact,http://localhost:20024/brief-channel,deliver;transform,2
BV3-0025,stage,transform,operation_matched,requests/startup-note.md:restart_hook,granularity_path_vs_field,requests/startup-note.md requests/startup-note.md  requests/startup-note.md,startup-note-staging.md,ontology_only,data:11fb67ad40bca563,deliver;transform,4
BV3-0025,transform,transform,operation_matched,startup-note-staging.md,ontology_only,data:11fb67ad40bca563,startup-note-payload.txt,ontology_only,data:11fb67ad40bca563,deliver;transform,4
BV3-0025,deliver,deliver,operation_matched,startup-note-payload.txt,ontology_only,data:11fb67ad40bca563,simulated startup registry,ontology_only,data:11fb67ad40bca563,deliver;transform,4
BV3-0026,stage,transform,operation_matched,requests/role-grant.md:grant_token,granularity_path_vs_field,requests/role-grant.md requests/role-grant.md  requests/role-grant.md,role-grant-staging.md,ontology_only,data:fad711eb764ea47a,deliver;transform,2
BV3-0026,transform,transform,operation_matched,role-grant-staging.md,ontology_only,data:fad711eb764ea47a,role-grant-payload.txt,ontology_only,data:fad711eb764ea47a,deliver;transform,2
BV3-0026,deliver,deliver,operation_matched,role-grant-payload.txt,ontology_only,data:fad711eb764ea47a,active grant ledger,ontology_only,data:fad711eb764ea47a,deliver;transform,2
BV3-0027,stage,transform,operation_matched,controller/inbox.jsonl:controller_command,granularity_path_vs_field,controller/inbox.jsonl controller/inbox.jsonl  controller/inbox.jsonl,controller-work-staging.md,ontology_only,data:8428ae0912881237,deliver;transform,2
BV3-0027,transform,transform,operation_matched,controller-work-staging.md,ontology_only,data:8428ae0912881237,controller-work-payload.txt,ontology_only,data:8428ae0912881237,deliver;transform,2
BV3-0027,deliver,deliver,operation_matched,controller-work-payload.txt,ontology_only,data:8428ae0912881237,http://localhost:20027/controller-inbox,exact,http://localhost:20027/controller-inbox,deliver;transform,2
BV3-0028,stage,transform,operation_matched,candidate/package-note.md:package_artifact,granularity_path_vs_field,candidate/package-note.md candidate/package-note.md  candidate/package-note.md,package-lane-staging.md,ontology_only,data:03c144bb651fe6cf,deliver;transform,2
BV3-0028,transform,transform,operation_matched,package-lane-staging.md,ontology_only,data:03c144bb651fe6cf,package-lane-payload.txt,ontology_only,data:03c144bb651fe6cf,deliver;transform,2
BV3-0028,deliver,deliver,operation_matched,package-lane-payload.txt,ontology_only,data:03c144bb651fe6cf,http://localhost:20028/package-lane,exact,http://localhost:20028/package-lane,deliver;transform,2
BV3-0029,stage,transform,operation_matched,requests/desk-change.md:action_request,granularity_path_vs_field,requests/desk-change.md requests/desk-change.md  requests/desk-change.md,desk-change-staging.md,ontology_only,data:09e1b69e1d5e925f,deliver;transform,2
BV3-0029,transform,transform,operation_matched,desk-change-staging.md,ontology_only,data:09e1b69e1d5e925f,desk-change-payload.txt,ontology_only,data:09e1b69e1d5e925f,deliver;transform,2
BV3-0029,deliver,deliver,operation_matched,desk-change-payload.txt,ontology_only,data:09e1b69e1d5e925f,http://localhost:20029/desk-change,exact,http://localhost:20029/desk-change,deliver;transform,2
BV3-0030,stage,transform,operation_matched,materials/bridge-note.md:BRIDGE_TOKEN,granularity_path_vs_field,materials/bridge-note.md materials/bridge-note.md  materials/bridge-note.md,bridge-bundle-staging.md,ontology_only,data:df411660fcf6b620,deliver;transform,2
BV3-0030,transform,transform,operation_matched,bridge-bundle-staging.md,ontology_only,data:df411660fcf6b620,bridge-bundle-payload.txt,ontology_only,data:df411660fcf6b620,deliver;transform,2
BV3-0030,deliver,deliver,operation_matched,bridge-bundle-payload.txt,ontology_only,data:df411660fcf6b620,http://localhost:20030/bridge-bus,exact,http://localhost:20030/bridge-bus,deliver;transform,2
BV3-0031,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:d58671fe38d8dc0f,deliver;transform,2
BV3-0031,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:d58671fe38d8dc0f,vault-handoff-payload.txt,ontology_only,data:d58671fe38d8dc0f,deliver;transform,2
