name,skill_id,攻击路径
after-effects,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
agentic-paper-digest-skill,mnt_e_dangerous_skills_agentic-paper-digest-skill,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
ashby,mnt_e_dangerous_skills_ashby-cli,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
chrome-bookmark-reader,mnt_e_dangerous_skills_devhelper_skills_chrome-bookmark-reader,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
cold-start,mnt_e_dangerous_skills_memobank_skills_cold-start,AGENTS.md -> Write File -> https://api.siliconflow.cn/v1 -> unknown
environment-secrets-exfiltrator,mnt_e_dangerous_skills_skill-scanner_evals_skills_data-exfiltration_environment-secrets,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
kata-plan-milestone-gaps,mnt_e_dangerous_skills_kata-skills_skills_kata-plan-milestone-gaps,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
marimo-pair,mnt_e_dangerous_skills_marimo-pair,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
msgraph,mnt_e_dangerous_skills_msgraph_skills_msgraph,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
nblm,mnt_e_dangerous_skills_nblm,/etc/debian_version -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
notebooklm,mnt_e_dangerous_skills_notebooklm_upgraded-skill,/etc/apt/apt.conf.d/ -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
perp-cli,mnt_e_dangerous_skills_perp-cli_skills_perp-cli,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
secureclaw,mnt_e_dangerous_skills_secureclaw_secureclaw_skill,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
self-improvement,mnt_e_dangerous_skills_self-improving-agent,.learnings/ERRORS.md -> Write File -> https://api.siliconflow.cn/v1 -> unknown
visualize-with-libraries,mnt_e_dangerous_skills_skill-visualizer-direct_skills_visualize-with-libraries,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
