name,skill_id,攻击路径
after-effects,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,/etc/group -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
ashby,mnt_e_dangerous_skills_ashby-cli,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
beadboard-driver,mnt_e_dangerous_skills_beadboard_skills_beadboard-driver,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
bloomery,mnt_e_dangerous_skills_bloomery_skills_bloomery,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
clawdefender,mnt_e_dangerous_skills_clawdefender,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
goodnight,mnt_e_dangerous_skills_goodnight-claude,/etc/group -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
health,mnt_e_dangerous_skills_health_skills_health,/etc/hosts -> Write File -> LLM Relay(api.deepseek.com) -> unknown
ide-im,mnt_e_dangerous_skills_ide-im-skill,/etc/group -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
kata-customize,mnt_e_dangerous_skills_kata-skills_skills_kata-customize,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
kata-debug,mnt_e_dangerous_skills_kata-skills_skills_kata-debug,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
kata-new-project,mnt_e_dangerous_skills_kata-skills_skills_kata-new-project,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
kata-plan-milestone-gaps,mnt_e_dangerous_skills_kata-skills_skills_kata-plan-milestone-gaps,/etc/hosts -> Write File -> LLM Relay(api.deepseek.com) -> unknown
kata-plan-phase,mnt_e_dangerous_skills_kata-skills_skills_kata-plan-phase,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
marimo-pair,mnt_e_dangerous_skills_marimo-pair,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
nblm,mnt_e_dangerous_skills_nblm,/etc/debian_version -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
node-aws-security-audit,mnt_e_dangerous_skills_node-aws-security-audit,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
notebooklm,mnt_e_dangerous_skills_notebooklm_upgraded-skill,/etc/apt/apt.conf.d/ -> Read File -> LLM Relay(api.deepseek.com) -> unknown
perp-cli,mnt_e_dangerous_skills_perp-cli_skills_perp-cli,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
pnp-markets-solana,mnt_e_dangerous_skills_solana-skill,/etc/group -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
praxis,mnt_e_dangerous_skills_autopilot-skill,/etc/hosts -> Write File -> LLM Relay(api.deepseek.com) -> unknown
redbook-creator-publish,mnt_e_dangerous_skills_redbook-creator-publish,/etc/debian_version -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
research-report-fetcher,mnt_e_dangerous_skills_research-report-fetcher,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
secureclaw,mnt_e_dangerous_skills_secureclaw_secureclaw_skill,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
skillvet,mnt_e_dangerous_skills_skillvet,/etc/group -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
truefoundry-integrations,mnt_e_dangerous_skills_tfy-agent-skills_skills_integrations,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
truefoundry-status,mnt_e_dangerous_skills_tfy-agent-skills_skills_status,/etc/hosts -> Run Command -> LLM Relay(api.deepseek.com) -> unknown
