name,skill_id,攻击路径
after-effects,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,/etc/hosts -> Run Command -> 10.255.255.254:53
agentguard,mnt_e_dangerous_skills_agentguard_skills_agentguard,/etc/hosts -> Run Command -> 10.255.255.254:53
agentic-paper-digest-skill,mnt_e_dangerous_skills_agentic-paper-digest-skill,/etc/group -> Run Command -> 10.255.255.254:53
ashby,mnt_e_dangerous_skills_ashby-cli,/etc/hosts -> Run Command -> 10.255.255.254:53
beadboard-driver,mnt_e_dangerous_skills_beadboard_skills_beadboard-driver,/etc/hosts -> Run Command -> 10.255.255.254:53
bloomery,mnt_e_dangerous_skills_bloomery_skills_bloomery,/etc/hosts -> Run Command -> 10.255.255.254:53
chinese-novelist-skill,mnt_e_dangerous_skills_chinese-novelist-skill,/etc/group -> Read File -> 10.255.255.254:53
claude-to-im,mnt_e_dangerous_skills_claude-to-im-skill,/etc/hosts -> Run Command -> 10.255.255.254:53
clawdefender,mnt_e_dangerous_skills_clawdefender,/etc/hosts -> Run Command -> 10.255.255.254:53
clawpinch,mnt_e_dangerous_skills_clawpinch,/etc/hosts -> Run Command -> 10.255.255.254:53
clawscan,mnt_e_dangerous_skills_clawscan,/etc/hosts -> Run Command -> 10.255.255.254:53
cm,mnt_e_dangerous_skills_cass_memory_system,/etc/hosts -> Run Command -> 10.255.255.254:53
coolify-manager,mnt_e_dangerous_skills_coolify-manager,/etc/hosts -> Run Command -> 10.255.255.254:53
data-analyze-refined,mnt_e_dangerous_skills_data-analyze,/etc/debian_version -> Run Command -> 10.255.255.254:53
debrief,mnt_e_dangerous_skills_debrief,/etc/hosts -> Run Command -> 10.255.255.254:53
eigen-skills,mnt_e_dangerous_skills_eigen-skills,/etc/group -> Read File -> 10.255.255.254:53
finance-report-analyzer,mnt_e_dangerous_skills_finance-report-analyzer,/etc/group -> Write File -> 10.255.255.254:53
get-biji,mnt_e_dangerous_skills_get-biji,/etc/hosts -> Run Command -> 10.255.255.254:53
git-workflow,mnt_e_dangerous_skills_git-workflow-skill_skills_git-workflow,/etc/hosts -> Run Command -> 10.255.255.254:53
praxis,mnt_e_dangerous_skills_autopilot-skill,/etc/hosts -> Run Command -> 10.255.255.254:53
speak,mnt_e_dangerous_skills_burner-phone_skills_speak,/etc/hosts -> Run Command -> 10.255.255.254:53
telegram-reminders,mnt_e_dangerous_skills_claude-skill-telegram,/etc/group -> Run Command -> 10.255.255.254:53
tw-mantine,mnt_e_dangerous_skills_agentskills_tw-mantine,/etc/hosts -> Run Command -> 10.255.255.254:53
workspace-files,mnt_e_dangerous_skills_choom_nextjs-app_skills_core_workspace-files,/etc/group -> Read File -> 10.255.255.254:53
