name,skill_id,skill_root,risk_level,risk_level_name,risk_score,primary_chain
after-effects,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,/mnt/e/dangerous_skills/adobe-agent-skills/skills/after-effects,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
agentic-paper-digest-skill,mnt_e_dangerous_skills_agentic-paper-digest-skill,/mnt/e/dangerous_skills/agentic-paper-digest-skill,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
ashby,mnt_e_dangerous_skills_ashby-cli,/mnt/e/dangerous_skills/ashby-cli,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
chrome-bookmark-reader,mnt_e_dangerous_skills_devhelper_skills_chrome-bookmark-reader,/mnt/e/dangerous_skills/devhelper/skills/chrome-bookmark-reader,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
cold-start,mnt_e_dangerous_skills_memobank_skills_cold-start,/mnt/e/dangerous_skills/memobank/skills/cold-start,critical,严重风险,100,AGENTS.md -> Write File -> https://api.siliconflow.cn/v1 -> unknown
environment-secrets-exfiltrator,mnt_e_dangerous_skills_skill-scanner_evals_skills_data-exfiltration_environment-secrets,/mnt/e/dangerous_skills/skill-scanner/evals/skills/data-exfiltration/environment-secrets,critical,严重风险,100,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
kata-plan-milestone-gaps,mnt_e_dangerous_skills_kata-skills_skills_kata-plan-milestone-gaps,/mnt/e/dangerous_skills/kata-skills/skills/kata-plan-milestone-gaps,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
marimo-pair,mnt_e_dangerous_skills_marimo-pair,/mnt/e/dangerous_skills/marimo-pair,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
msgraph,mnt_e_dangerous_skills_msgraph_skills_msgraph,/mnt/e/dangerous_skills/msgraph/skills/msgraph,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
nblm,mnt_e_dangerous_skills_nblm,/mnt/e/dangerous_skills/nblm,critical,严重风险,100,/etc/debian_version -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
notebooklm,mnt_e_dangerous_skills_notebooklm_upgraded-skill,/mnt/e/dangerous_skills/notebooklm_upgraded-skill,critical,严重风险,100,/etc/apt/apt.conf.d/ -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
perp-cli,mnt_e_dangerous_skills_perp-cli_skills_perp-cli,/mnt/e/dangerous_skills/perp-cli/skills/perp-cli,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
secureclaw,mnt_e_dangerous_skills_secureclaw_secureclaw_skill,/mnt/e/dangerous_skills/secureclaw/secureclaw/skill,critical,严重风险,100,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
self-improvement,mnt_e_dangerous_skills_self-improving-agent,/mnt/e/dangerous_skills/self-improving-agent,critical,严重风险,100,.learnings/ERRORS.md -> Write File -> https://api.siliconflow.cn/v1 -> unknown
visualize-with-libraries,mnt_e_dangerous_skills_skill-visualizer-direct_skills_visualize-with-libraries,/mnt/e/dangerous_skills/skill-visualizer-direct/skills/visualize-with-libraries,critical,严重风险,100,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
