corpus,sample_scope,sample_key,sample_name,sample_root_or_path,sample_root_or_path_windows,provloom_selected_skill_id,provloom_selected_skill_root,provloom_selected_skill_name,provloom_status,provloom_execution_outcome,provloom_final_risk_level,provloom_risk_score,provloom_evidence_type,provloom_evidence_strength,provloom_primary_chain_length,provloom_root_cause,provloom_detected_behaviors,provloom_external_endpoints,skillscan_risk_level,skillscan_risk_score,skillscan_total_issues,skillscan_status,skillscan_path,skillscan_match_scope,cisco_risk_level,cisco_status,cisco_source_path,cisco_match_scope,clawvet_risk_level,clawvet_status,clawvet_source_path,clawvet_match_scope,skillfortify_risk_level,skillfortify_status,skillfortify_source_path,skillfortify_match_scope,seeded_from_existing_review,existing_human_decision,existing_human_gt_behavior,existing_human_gt_chain_valid,existing_human_gt_root_cause,existing_human_notes,existing_reviewer,existing_review_status,human_decision,human_gt_behavior,human_gt_chain_valid,human_gt_root_cause,human_notes,reviewer,review_status
high_risk_470,top_level_public_sample,a2a-x402-wallet,a2a-wallet,/mnt/e/dangerous_skills/a2a-x402-wallet,E:\dangerous_skills\a2a-x402-wallet,mnt_e_dangerous_skills_a2a-x402-wallet_skills_a2a-wallet,/mnt/e/dangerous_skills/a2a-x402-wallet/skills/a2a-wallet,a2a-wallet,skipped,skipped_bounded,low,,no_closed_chain,partial,0,unknown,,,critical,10.0,176,success,/mnt/e/dangerous_skills/a2a-x402-wallet,top_level_public_sample,info,failed,E:\dangerous_skills\a2a-x402-wallet,top_level_public_sample,info,failed,E:\dangerous_skills\a2a-x402-wallet,top_level_public_sample,critical,success,E:\dangerous_skills\a2a-x402-wallet,top_level_public_sample,false,benign,no_closed_chain_intended_wallet_agent_cli,FALSE,benign_intended_external_agent_wallet_workflow,"The skill documents an A2A/x402 wallet CLI with user-directed agent URLs, registry search/register, payment signing, and local wallet management. Although local private keys are stored on disk and the functionality is sensitive, the file includes explicit user-facing warnings and does not show a concrete malicious source-to-external-sink or setup-control chain. Runtime was skipped and ProvLoom reported no_closed_chain, so I treat this as intended high-risk wallet functionality rather than confirmed abuse.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,abund.ai,abund-ai,/mnt/e/dangerous_skills/abund.ai,E:\dangerous_skills\abund.ai,mnt_e_dangerous_skills_abund.ai,/mnt/e/dangerous_skills/abund.ai,abund-ai,completed,completed_full,critical,100,observed_runtime,chain_backed,3,llm_decision,"[""file_write"", ""network_access""]",,critical,10.0,281,success,/mnt/e/dangerous_skills/abund.ai,top_level_public_sample,critical,success,E:\dangerous_skills\abund.ai,top_level_public_sample,high,success,E:\dangerous_skills\abund.ai,top_level_public_sample,high,success,E:\dangerous_skills\abund.ai,top_level_public_sample,true,ambiguous,runtime_sensitive_file_to_external_registration_endpoint,TRUE,llm_induced_external_action,"The runtime chain links /etc/hosts to an HTTP request and then to https://api.abund.ai/api/v1/agents/register. This is a concrete non-LLM external endpoint and should be treated as suspicious. However, this skill is not among the user-confirmed malicious samples in the screenshot, so I mark it as ambiguous rather than confirmed malicious.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,acontext-skills,acontext-agent-integration,/mnt/e/dangerous_skills/acontext-skills,E:\dangerous_skills\acontext-skills,mnt_e_dangerous_skills_acontext-skills_acontext-agent-integration,/mnt/e/dangerous_skills/acontext-skills/acontext-agent-integration,acontext-agent-integration,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""process_spawn"", ""shell_execution""]",,critical,10.0,28,success,/mnt/e/dangerous_skills/acontext-skills,top_level_public_sample,info,failed,E:\dangerous_skills\acontext-skills\acontext-agent-integration\SKILL.md,top_level_public_sample,high,success,E:\dangerous_skills\acontext-skills\acontext-agent-integration\SKILL.md,top_level_public_sample,high,success,E:\dangerous_skills\acontext-skills\acontext-agent-integration\SKILL.md,top_level_public_sample,false,benign,no_closed_chain_sdk_sandbox_and_disk_tooling,FALSE,benign_developer_sdk_documentation,"The skill describes Acontext SDK integration patterns, including disk tools, sandbox execution, artifact storage, and session management. These are broad developer capabilities and explain why static scanners flag shell/process behavior, but the reviewed SKILL.md does not prescribe sensitive-file exfiltration, malicious persistence, or transfer of control to an attacker-controlled endpoint. ProvLoom found no_closed_chain, so I mark it benign.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,adobe-agent-skills,after-effects,/mnt/e/dangerous_skills/adobe-agent-skills,E:\dangerous_skills\adobe-agent-skills,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,/mnt/e/dangerous_skills/adobe-agent-skills/skills/after-effects,after-effects,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""file_write"", ""process_spawn"", ""shell_execution""]",,low,3.5,10,success,/mnt/e/dangerous_skills/adobe-agent-skills,top_level_public_sample,info,failed,E:\dangerous_skills\adobe-agent-skills\skills\after-effects\SKILL.md,top_level_public_sample,medium,success,E:\dangerous_skills\adobe-agent-skills\skills\after-effects\SKILL.md,top_level_public_sample,info,success,E:\dangerous_skills\adobe-agent-skills\skills\after-effects\SKILL.md,top_level_public_sample,false,benign,no_closed_chain_local_after_effects_automation,FALSE,benign_local_application_automation,"The skill automates Adobe After Effects through local ExtendScript and osascript workflows. It includes potentially powerful local file/process operations and asks that AE allow scripts to write files and access network, but the instructions are scoped to user-requested project automation, include confirmation gates for destructive operations, and do not close a malicious external sink or setup-control chain. I treat the scanner findings as capability-driven false positives.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,adr-skill,adr-skill,/mnt/e/dangerous_skills/adr-skill,E:\dangerous_skills\adr-skill,mnt_e_dangerous_skills_adr-skill_skills_adr-skill,/mnt/e/dangerous_skills/adr-skill/skills/adr-skill,adr-skill,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""process_spawn""]",,safe,1.5,6,success,/mnt/e/dangerous_skills/adr-skill,top_level_public_sample,high,success,E:\dangerous_skills\adr-skill\skills\adr-skill,top_level_public_sample,low,success,E:\dangerous_skills\adr-skill\skills\adr-skill,top_level_public_sample,info,success,E:\dangerous_skills\adr-skill\skills\adr-skill,top_level_public_sample,false,benign,no_closed_chain_adr_documentation_workflow,FALSE,benign_documentation_and_local_script_workflow,"The skill is an ADR authoring and maintenance workflow. It instructs agents to scan a repo, draft ADR files, and optionally run local Node scripts for creating or updating ADRs. There is no external exfiltration endpoint, malicious installer, persistence mechanism, or closed trust-boundary to impact path in the reviewed SKILL.md. Static alerts appear to come from ordinary repo scanning and local script references.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,adversarial-spec,adversarial-spec,/mnt/e/dangerous_skills/adversarial-spec,E:\dangerous_skills\adversarial-spec,mnt_e_dangerous_skills_adversarial-spec_skills_adversarial-spec,/mnt/e/dangerous_skills/adversarial-spec/skills/adversarial-spec,adversarial-spec,skipped,skipped_bounded,medium,,no_closed_chain,partial,0,unknown,,,critical,10.0,74,success,/mnt/e/dangerous_skills/adversarial-spec,top_level_public_sample,high,success,E:\dangerous_skills\adversarial-spec\skills\adversarial-spec,top_level_public_sample,high,success,E:\dangerous_skills\adversarial-spec\skills\adversarial-spec,top_level_public_sample,high,success,E:\dangerous_skills\adversarial-spec\skills\adversarial-spec,top_level_public_sample,false,benign,no_closed_chain_multi_llm_spec_debate_workflow,FALSE,benign_external_model_orchestration,"The skill orchestrates adversarial review of PRDs or technical specs using configured LLM APIs, Bedrock, Codex CLI, Gemini CLI, and local debate scripts. It does involve external model calls and optional CLI installation, but these are explicit user-facing setup and review steps rather than a hidden exfiltration, persistence, or malicious setup-control chain. Runtime was skipped and ProvLoom reported no_closed_chain, so I mark it benign.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,afterself,afterself,/mnt/e/dangerous_skills/afterself,E:\dangerous_skills\afterself,mnt_e_dangerous_skills_afterself,/mnt/e/dangerous_skills/afterself,afterself,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,"[""file_write""]",,critical,10.0,500,success,/mnt/e/dangerous_skills/afterself,top_level_public_sample,high,success,E:\dangerous_skills\afterself,top_level_public_sample,high,success,E:\dangerous_skills\afterself,top_level_public_sample,high,success,E:\dangerous_skills\afterself,top_level_public_sample,false,ambiguous,high_impact_dead_mans_switch_executor_and_crypto_transfer,FALSE,risky_autonomous_posthumous_action_design,"The skill implements a digital legacy agent that can trigger messages, emails, account-closure workflows, social posts, webhook calls, ghost-mode responses, and optional crypto or mortality-pool transfers after a heartbeat/escalation process. These are high-impact autonomous actions, but the SKILL.md frames them as owner-approved, consent-first, local-first workflows and does not show a malicious external endpoint, remote installer, or attacker-controlled persistence chain. I therefore mark it ambiguous rather than confirmed malicious.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-browser-relay,agent-browser-relay,/mnt/e/dangerous_skills/agent-browser-relay,E:\dangerous_skills\agent-browser-relay,mnt_e_dangerous_skills_agent-browser-relay,/mnt/e/dangerous_skills/agent-browser-relay,agent-browser-relay,completed,completed_full,low,0,no_closed_chain,partial,0,unknown,[],,critical,10.0,54,success,/mnt/e/dangerous_skills/agent-browser-relay,top_level_public_sample,critical,success,E:\dangerous_skills\agent-browser-relay,top_level_public_sample,medium,success,E:\dangerous_skills\agent-browser-relay,top_level_public_sample,high,success,E:\dangerous_skills\agent-browser-relay,top_level_public_sample,false,benign,no_closed_chain_local_browser_relay,FALSE,benign_user_attached_browser_read_tooling,"The skill describes a local Agent Browser Relay that reads metadata, DOM text, screenshots, and structured payloads from an explicitly attached Chrome tab through localhost. It includes human attach requirements, lease-scoped tab IDs, and prohibitions against taking over random browser windows. Although browser-page reading is sensitive and scanners flag it, the reviewed instructions do not close a malicious external exfiltration or setup-control chain.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-chat,agent-chat,/mnt/e/dangerous_skills/agent-chat,E:\dangerous_skills\agent-chat,mnt_e_dangerous_skills_agent-chat,/mnt/e/dangerous_skills/agent-chat,agent-chat,completed,completed_full,critical,0,instruction_derived,partial,0,unknown,"[""file_write""]",,critical,10.0,248,success,/mnt/e/dangerous_skills/agent-chat,top_level_public_sample,high,success,E:\dangerous_skills\agent-chat,top_level_public_sample,high,success,E:\dangerous_skills\agent-chat,top_level_public_sample,high,success,E:\dangerous_skills\agent-chat,top_level_public_sample,true,ambiguous,instruction_derived_external_agent_install_and_persistence,TRUE,risky_external_agent_installation_with_recurring_execution,"The documentation-level evidence contains external agent installation semantics and LaunchAgent/launchctl-style persistence setup. This is security-relevant and the recovered instruction chain is valid, but the sample is not confirmed malicious in the screenshot, so the final label is ambiguous.",唐健,reviewed,,,,,,,
high_risk_470,top_level_public_sample,agent-credit,agent-credit,/mnt/e/dangerous_skills/agent-credit,E:\dangerous_skills\agent-credit,mnt_e_dangerous_skills_agent-credit,/mnt/e/dangerous_skills/agent-credit,agent-credit,completed,completed_full,medium,0,no_closed_chain,partial,0,unknown,[],,critical,10.0,83,success,/mnt/e/dangerous_skills/agent-credit,top_level_public_sample,high,success,E:\dangerous_skills\agent-credit,top_level_public_sample,critical,success,E:\dangerous_skills\agent-credit,top_level_public_sample,critical,success,E:\dangerous_skills\agent-credit,top_level_public_sample,false,ambiguous,no_closed_chain_delegated_defi_borrowing_agent,FALSE,risky_autonomous_financial_delegation_design,"The skill enables an agent wallet to borrow and repay assets through Aave credit delegation, with debt accruing against the delegator's collateral. This is financially sensitive and grants the agent autonomous borrowing capability, but the SKILL.md also describes explicit delegation approval, safety checks, health-factor limits, per-transaction caps, and refusal rules. I do not see a malicious source-to-sink or instruction-derived attacker-control chain, so I mark it ambiguous because of high-impact financial risk rather than confirmed malicious.",唐健,reviewed,,,,,,,
