name,skill_id,skill_root,risk_level,risk_level_name,risk_score,severity_label,evidence_strength,root_cause,root_cause_detail,primary_chain
Feishu Audio Message,mnt_e_dangerous_skills_feishu-message,/mnt/e/dangerous_skills/feishu-message,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
abund-ai,mnt_e_dangerous_skills_abund.ai,/mnt/e/dangerous_skills/abund.ai,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> HTTP Request -> https://api.abund.ai/api/v1/agents/register
add-feishu,mnt_e_dangerous_skills_nanoclaw-add-feishu-skill_skills_add-feishu,/mnt/e/dangerous_skills/nanoclaw-add-feishu-skill/skills/add-feishu,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
after-effects,mnt_e_dangerous_skills_adobe-agent-skills_skills_after-effects,/mnt/e/dangerous_skills/adobe-agent-skills/skills/after-effects,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
afterself,mnt_e_dangerous_skills_afterself,/mnt/e/dangerous_skills/afterself,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
agent-chat,mnt_e_dangerous_skills_agent-chat,/mnt/e/dangerous_skills/agent-chat,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
agent-rules,mnt_e_dangerous_skills_agent-rules-skill_skills_agent-rules,/mnt/e/dangerous_skills/agent-rules-skill/skills/agent-rules,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
agent-secret,mnt_e_dangerous_skills_agent-secret_skills_agent-secret,/mnt/e/dangerous_skills/agent-secret/skills/agent-secret,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
agentic-paper-digest-skill,mnt_e_dangerous_skills_agentic-paper-digest-skill,/mnt/e/dangerous_skills/agentic-paper-digest-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Read File -> https://api.siliconflow.cn/v1 -> unknown
agentmail,mnt_e_dangerous_skills_openclaw-agentmail-skill,/mnt/e/dangerous_skills/openclaw-agentmail-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
ahok-memory,mnt_e_dangerous_skills_ahok-skill,/mnt/e/dangerous_skills/ahok-skill,critical,严重风险,100,weakly_suspicious,partial,llm_decision,llm_decision_induced_action,runtime_output/trigger_local_note.txt -> Write File -> https://api.siliconflow.cn/v1 -> unknown
ai-image-prompts-skill,mnt_e_dangerous_skills_ai-image-prompts-skill,/mnt/e/dangerous_skills/ai-image-prompts-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
antigravity-swarm,mnt_e_dangerous_skills_antigravity-swarm,/mnt/e/dangerous_skills/antigravity-swarm,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
apaas-object-skill,mnt_e_dangerous_skills_apaas-object-skill,/mnt/e/dangerous_skills/apaas-object-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
api-football-v3,mnt_e_dangerous_skills_thscore-api-skill_skills_api-football-v3,/mnt/e/dangerous_skills/thscore-api-skill/skills/api-football-v3,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
ask-many-models,mnt_e_dangerous_skills_skill--ask-many-models,/mnt/e/dangerous_skills/skill--ask-many-models,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Trigger Event external_message -> https://api.siliconflow.cn/v1 -> unknown
ats,mnt_e_dangerous_skills_ats-skill,/mnt/e/dangerous_skills/ats-skill,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Run Command -> https://api.siliconflow.cn/v1 -> unknown
audit-skills,mnt_e_dangerous_skills_audit-skills_skills_audit-skills,/mnt/e/dangerous_skills/audit-skills/skills/audit-skills,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
backup-strategy,mnt_e_dangerous_skills_secure-server-setup-skills_secure-server-setup_backup-strategy,/mnt/e/dangerous_skills/secure-server-setup-skills/secure-server-setup/backup-strategy,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
bad-humanizer,mnt_e_dangerous_skills_bad-humanizer,/mnt/e/dangerous_skills/bad-humanizer,critical,严重风险,100,severe_risk,chain_backed,llm_decision,llm_decision_induced_action,/etc/hosts -> Write File -> https://api.siliconflow.cn/v1 -> unknown
