name,skill_id,skill_root,risk_level,risk_level_name,risk_score,severity_label,evidence_strength,root_cause,root_cause_detail
Desktop Control,mnt_e_dangerous_skills_desktop-agent,/mnt/e/dangerous_skills/desktop-agent,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
IDA-Skill,mnt_e_dangerous_skills_ida-skill,/mnt/e/dangerous_skills/ida-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
NEON-SOUL,mnt_e_dangerous_skills_neon-soul_skills_neon-soul,/mnt/e/dangerous_skills/neon-soul/skills/neon-soul,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
acontext-agent-integration,mnt_e_dangerous_skills_acontext-skills_acontext-agent-integration,/mnt/e/dangerous_skills/acontext-skills/acontext-agent-integration,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
adr-skill,mnt_e_dangerous_skills_adr-skill_skills_adr-skill,/mnt/e/dangerous_skills/adr-skill/skills/adr-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
agent-browser-relay,mnt_e_dangerous_skills_agent-browser-relay,/mnt/e/dangerous_skills/agent-browser-relay,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
agent-credit,mnt_e_dangerous_skills_agent-credit,/mnt/e/dangerous_skills/agent-credit,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
agentaudit-skill,mnt_e_dangerous_skills_agentaudit-skill,/mnt/e/dangerous_skills/agentaudit-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
agentcast,mnt_e_dangerous_skills_agentcast-ai_agentcast,/mnt/e/dangerous_skills/agentcast-ai/agentcast,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
agentchat,mnt_e_dangerous_skills_agentchat,/mnt/e/dangerous_skills/agentchat,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
agentic-learning,mnt_e_dangerous_skills_agentic-learn,/mnt/e/dangerous_skills/agentic-learn,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
agentscale,mnt_e_dangerous_skills_agentscale,/mnt/e/dangerous_skills/agentscale,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
ai-video-creator,mnt_e_dangerous_skills_ai-video-creator-skill,/mnt/e/dangerous_skills/ai-video-creator-skill,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
aicoin-account,mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-account,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-account,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
aicoin-account,mnt_e_dangerous_skills_coinos-skills_skills_aicoin-account,/mnt/e/dangerous_skills/coinos-skills/skills/aicoin-account,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
aicoin-freqtrade,mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-freqtrade,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-freqtrade,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
aicoin-freqtrade,mnt_e_dangerous_skills_coinos-skills_skills_aicoin-freqtrade,/mnt/e/dangerous_skills/coinos-skills/skills/aicoin-freqtrade,medium,中风险,25,substantial_risk,partial,llm_decision,llm_decision_induced_action
aicoin-hyperliquid,mnt_e_dangerous_skills_aicoin-skills_skills_aicoin-hyperliquid,/mnt/e/dangerous_skills/aicoin-skills/skills/aicoin-hyperliquid,medium,中风险,25,weakly_suspicious,partial,llm_decision,llm_decision_induced_action
