dimension,category,count
execution_outcome,completed_full,482
execution_outcome,skipped_bounded,157
final_risk_level,low,456
final_risk_level,medium,157
final_risk_level,critical,24
final_risk_level,high,2
risk_level_name,低风险,470
risk_level_name,null,157
risk_level_name,严重风险,7
risk_level_name,中风险,5
root_cause_v2_evidence_status,trigger_incomplete,482
root_cause_v2_evidence_status,static_only,157
root_cause_v2_mechanism_class,insufficient_context,452
root_cause_v2_mechanism_class,unsafe_command_construction,129
root_cause_v2_mechanism_class,ambiguous_connected_workflow,54
root_cause_v2_mechanism_class,unsafe_dataflow_design,3
root_cause_v2_mechanism_class,overprivileged_external_transfer,1
root_cause_v2_primary_driver,authored_skill_logic,453
root_cause_v2_primary_driver,tool_selection,129
root_cause_v2_primary_driver,mixed,57
selected_execution_profile,base_lightweight,295
selected_execution_profile,adapter_backed,260
selected_execution_profile,browser_lightweight,71
selected_execution_profile,deep_execution,13
skip_category,null,482
skip_category,auth_or_external_account_required,157
status,completed,482
status,skipped,157
