skill_id,skill_name,risk_level,primary_chain_nonempty,predicted_root_cause,suspected_fp_type
mnt_e_dangerous_skills_ahok-skill,ahok-memory,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_audit-skills_skills_audit-skills,audit-skills,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_finance-report-analyzer,finance-report-analyzer,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_cold-start,cold-start,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-init,mb-init,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-review,mb-review,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_node-aws-security-audit,node-aws-security-audit,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_research-report-fetcher,research-report-fetcher,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_skill-security-audit,skill-security-audit,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_skills_skills_report,report,critical,True,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_agentaudit-skill,agentaudit-skill,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_audit-skills,audit-skills,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_cass_memory_system,cm,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_chinese-novelist-skill,chinese-novelist-skill,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_choom_nextjs-app_skills_core_memory-management,memory-management,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_devhelper_skills_chrome-bookmark-reader,chrome-bookmark-reader,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_elite-longterm-memory,elite-longterm-memory,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_eternal-memory-skill,eternal-memory,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_github-trending-daily-report_github-trending-daily-report,github-trending-daily-report,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_kata-skills_skills_kata-list-phase-assumptions,kata-list-phase-assumptions,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-model-list,langfuse-model-list,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-prompt-list,langfuse-prompt-list,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-session-list,langfuse-session-list,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_langfuse-skills_skills_langfuse-trace-list,langfuse-trace-list,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_memobank_skills_mb-execute,mb-execute,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-from-prd,mb-from-prd,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-garden,mb-garden,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-harness,mb-harness,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-map-codebase,mb-map-codebase,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_memobank_skills_mb-verify,mb-verify,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_security-audit-skill_skills_security-audit,security-audit,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_siyuan-notes-skill,siyuan-notes,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
mnt_e_dangerous_skills_version-demo_skills_helper,helper-tool,medium,False,llm_decision_induced_action,helper_listing_or_archive
mnt_e_dangerous_skills_wechat-daily-report-skill,wechat-daily-report,medium,False,llm_decision_induced_action,note_report_inventory_or_mirror
