sample_id,excluded_by
BV3-0125,ProvLoom:status_failed
BV3-0245,ProvLoom:status_failed
BV3-0429,AI-Infra-Guard:status_failed
BV3-0492,Cisco LLM Scanner:status_failed
BV3-0499,SkillScan:status_failed
BV3-0500,SkillScan:status_failed
BV3-0501,SkillScan:status_failed
BV3-0502,SkillScan:status_failed
BV3-0503,SkillScan:status_failed
BV3-0504,SkillScan:status_failed
BV3-0505,SkillScan:status_failed
BV3-0506,SkillScan:status_failed
BV3-0507,SkillScan:status_failed
BV3-0508,SkillScan:status_failed
BV3-0513,Cisco LLM Scanner:status_failed
BV3-0517,SkillScan:status_failed
BV3-0518,SkillScan:status_failed
BV3-0519,SkillScan:status_failed
BV3-0520,SkillScan:status_failed
BV3-0521,SkillScan:status_failed
BV3-0585,ProvLoom:status_failed
BV3-0652,Cisco LLM Scanner:status_failed
BV3-0674,Cisco LLM Scanner:status_failed
BV3-0705,Cisco LLM Scanner:status_failed
