sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
PB-001,1215,329,0,447,439,0,2,1
PB-002,1085,286,5,357,437,0,2,1
PB-003,757,217,0,109,431,0,12,1
PB-004,1188,303,0,443,442,0,2,1
PB-005,1256,334,0,481,441,0,2,1
PB-006,992,253,0,300,439,0,2,1
PB-007,983,251,0,294,438,0,2,1
PB-008,1190,320,7,410,453,0,1,2
PB-009,1315,369,0,491,455,0,1,1
PB-010,1942,615,0,866,461,0,1,1
PB-011,1190,320,7,410,453,0,1,1
PB-012,757,217,0,109,431,0,12,1
PB-013,978,252,0,289,437,0,2,1
PB-014,757,217,0,109,431,0,12,1
PB-015,1044,258,0,347,439,0,2,1
PB-016,1361,398,0,509,454,0,1,1
PB-017,1005,255,2,310,438,2,39,1
PB-018,1030,260,2,329,439,2,42,1
PB-019,1170,320,2,353,495,2,42,0
PB-020,1049,261,0,349,439,0,2,1
PB-021,1264,341,0,483,440,0,2,1
PB-022,982,251,0,293,438,0,2,1
PB-023,1263,341,0,481,441,0,2,1
PB-024,1004,255,0,311,438,0,2,1
PB-025,1169,321,0,397,451,0,2,3
PB-026,1190,322,7,408,453,0,1,1
PB-027,972,249,0,286,437,0,2,1
PB-028,977,252,0,288,437,0,2,1
PB-029,878,235,1,209,433,0,2,1
PB-030,1153,308,2,384,459,2,42,0
PB-031,1119,293,0,388,438,0,2,1
PB-032,997,256,2,300,439,2,42,2
PB-033,757,217,0,109,431,0,12,1
PB-034,972,249,0,286,437,0,2,1
PB-035,914,242,0,223,449,0,1,3
PB-036,1525,453,1,615,456,1,48,1
PB-037,1192,324,0,415,453,0,1,1
PB-038,1149,316,7,389,437,0,2,1
PB-039,757,217,0,109,431,0,12,1
PB-040,1022,257,2,324,439,2,42,1
PB-041,972,249,0,286,437,0,2,1
PB-042,773,219,0,109,445,0,12,1
PB-043,1088,304,1,348,435,1,24,0
PB-044,922,240,3,244,435,2,30,1
PB-045,1088,304,0,349,435,0,1,1
PB-046,1020,256,0,324,440,0,2,1
PB-047,1199,324,7,429,439,0,2,1
PB-048,1020,278,1,292,449,1,23,4
PB-049,1444,417,0,571,456,0,1,1
PB-050,1717,515,0,743,459,0,1,1
PB-051,1572,498,0,636,438,0,51,1
PB-052,977,252,2,286,437,2,36,1
PB-053,878,235,1,209,433,0,2,1
PB-054,983,251,0,294,438,0,2,1
PB-055,1394,403,0,536,455,0,1,1
PB-056,1005,255,2,310,438,2,39,1
PB-057,972,249,0,286,437,0,2,1
PB-058,972,249,0,286,437,0,2,1
PB-059,1590,464,0,683,443,0,2,1
PB-060,893,241,1,217,434,1,20,1
PB-061,1618,505,0,658,455,0,1,3
PB-062,1188,321,7,407,453,0,1,1
PB-063,2159,728,0,971,460,0,1,1
PB-064,987,254,2,293,438,2,39,1
PB-065,1404,403,0,521,480,0,2,1
PB-066,972,249,0,286,437,0,2,1
PB-067,757,217,0,109,431,0,12,1
PB-068,1563,479,1,627,456,1,44,2
PB-069,757,217,0,109,431,0,12,3
PB-070,896,237,0,225,434,0,2,1
PB-071,948,244,1,267,436,0,2,1
PB-072,893,241,1,217,434,1,20,1
PB-073,972,249,0,286,437,0,2,1
PB-074,1154,295,5,400,454,0,1,2
PB-075,1178,322,0,404,452,0,2,1
PB-076,1515,466,1,593,455,1,41,1
PB-077,867,252,0,185,430,0,8,1
PB-078,954,247,0,271,436,0,2,1
PB-079,873,256,0,188,429,0,9,1
PB-080,1336,428,1,346,561,1,32,1
PB-081,1363,399,0,510,454,0,1,1
PB-082,1117,295,2,361,459,2,42,0
PB-083,1086,286,5,358,437,0,2,1
PB-084,977,252,2,286,437,2,36,1
PB-085,869,254,0,184,431,0,11,1
PB-086,877,254,0,192,431,0,11,1
PB-087,1804,577,0,770,457,0,1,3
PB-088,1012,278,1,284,449,1,23,1
PB-089,937,239,1,247,450,0,1,1
PB-090,1530,447,0,621,462,0,2,1
PB-091,978,252,2,287,437,2,36,1
PB-092,897,238,3,222,434,2,27,1
PB-093,824,229,0,161,434,0,1,1
PB-094,753,215,0,95,443,0,6,1
PB-095,1108,308,1,362,437,1,30,1
PB-096,978,252,2,287,437,2,36,1
PB-097,973,249,0,287,437,0,2,1
PB-098,1610,479,2,685,444,2,60,1
PB-099,955,247,0,272,436,0,2,1
PB-100,1943,602,1,880,460,1,57,4
PB-101,1170,319,7,392,452,0,1,1
PB-102,1983,660,0,867,456,0,1,1
PB-103,867,252,0,185,430,0,8,1
PB-104,1005,256,2,308,439,2,42,2
PB-105,757,217,0,109,431,0,12,1
PB-106,1028,258,0,329,441,0,2,1
PB-107,1215,324,7,430,454,0,1,1
PB-108,1104,276,2,384,442,2,51,1
PB-109,954,247,0,271,436,0,2,1
PB-110,1202,325,0,438,439,0,2,1
PB-111,870,236,0,201,433,0,1,1
PB-112,978,252,2,287,437,2,36,1
PB-113,1750,549,0,744,457,0,1,3
PB-114,1486,445,0,586,455,0,1,1
PB-115,1095,285,0,358,452,0,1,1
PB-116,1276,337,9,488,442,2,51,1
PB-117,955,247,0,272,436,0,2,1
PB-118,972,249,0,286,437,0,2,1
PB-119,928,241,1,251,435,0,2,1
PB-120,909,243,1,217,448,1,20,1
PB-121,757,217,0,109,431,0,12,3
PB-122,1748,578,0,731,439,0,55,1
PB-123,983,251,0,294,438,0,2,1
PB-124,893,241,1,217,434,1,20,1
PB-125,1705,542,0,707,456,0,1,3
PB-126,1517,449,0,612,456,0,1,1
PB-127,1243,329,7,452,455,0,1,1
PB-128,1375,381,0,551,443,0,2,1
PB-129,745,215,0,100,430,0,8,1
PB-130,1260,317,0,498,445,0,2,1
PB-131,1004,255,2,309,438,2,39,1
PB-132,1689,520,0,711,458,0,1,1
PB-133,1096,285,2,371,438,2,39,0
