sample_id,expected_malicious,any_network,source_and_network,any_taint_chain
PB-001,True,True,True,True
PB-002,True,True,True,True
PB-003,True,True,False,False
PB-004,True,True,True,True
PB-005,True,True,True,True
PB-006,True,True,True,True
PB-007,True,True,True,True
PB-008,True,True,True,True
PB-009,True,True,True,True
PB-010,True,True,True,True
PB-011,True,True,True,True
PB-012,True,True,False,False
PB-013,True,True,True,True
PB-014,True,True,False,False
PB-015,True,True,True,True
PB-016,True,True,True,True
PB-017,True,True,True,True
PB-018,True,True,True,True
PB-019,True,True,True,True
PB-020,True,True,True,True
PB-021,True,True,True,True
PB-022,True,True,True,True
PB-023,True,True,True,True
PB-024,True,True,True,True
PB-025,True,True,True,True
PB-026,True,True,True,True
PB-027,True,True,True,True
PB-028,True,True,True,True
PB-029,True,True,True,True
PB-030,True,True,True,True
PB-031,True,True,True,True
PB-032,True,True,True,True
PB-033,True,True,False,False
PB-034,True,True,True,True
PB-035,True,True,True,True
PB-036,True,True,True,True
PB-037,True,True,True,True
PB-038,True,True,True,True
PB-039,True,True,False,False
PB-040,True,True,True,True
PB-041,True,True,True,True
PB-042,True,True,False,False
PB-043,True,True,True,True
PB-044,True,True,True,True
PB-045,True,True,True,True
PB-046,True,True,True,True
PB-047,True,True,True,True
PB-048,True,True,True,True
PB-049,True,True,True,True
PB-050,True,True,True,True
PB-051,True,True,True,False
PB-052,True,True,True,True
PB-053,True,True,True,True
PB-054,True,True,True,True
PB-055,True,True,True,True
PB-056,True,True,True,True
PB-057,True,True,True,True
PB-058,True,True,True,True
PB-059,True,True,True,True
PB-060,True,True,True,True
PB-061,True,True,True,True
PB-062,True,True,True,True
PB-063,True,True,True,True
PB-064,True,True,True,True
PB-065,True,True,True,True
PB-066,True,True,True,True
PB-067,True,True,False,False
PB-068,True,True,True,True
PB-069,True,True,False,False
PB-070,True,True,True,True
PB-071,True,True,True,True
PB-072,True,True,True,True
PB-073,True,True,True,True
PB-074,True,True,True,True
PB-075,True,True,True,True
PB-076,True,True,True,True
PB-077,True,True,False,False
PB-078,True,True,True,True
PB-079,True,True,False,False
PB-080,True,True,True,True
PB-081,True,True,True,True
PB-082,True,True,True,True
PB-083,True,True,True,True
PB-084,True,True,True,True
PB-085,True,True,False,False
PB-086,True,True,False,False
PB-087,True,True,True,True
PB-088,True,True,True,True
PB-089,True,True,True,True
PB-090,True,True,True,True
PB-091,True,True,True,True
PB-092,True,True,True,True
PB-093,True,True,True,True
PB-094,True,True,False,False
PB-095,True,True,True,True
PB-096,True,True,True,True
PB-097,True,True,True,True
PB-098,True,True,True,True
PB-099,True,True,True,True
PB-100,True,True,True,True
PB-101,True,True,True,True
PB-102,True,True,True,True
PB-103,True,True,False,False
PB-104,True,True,True,True
PB-105,True,True,False,False
PB-106,True,True,True,True
PB-107,True,True,True,True
PB-108,True,True,True,True
PB-109,True,True,True,True
PB-110,True,True,True,True
PB-111,True,True,True,True
PB-112,True,True,True,True
PB-113,True,True,True,True
PB-114,True,True,True,True
PB-115,True,True,True,True
PB-116,True,True,True,True
PB-117,True,True,True,True
PB-118,True,True,True,True
PB-119,True,True,True,True
PB-120,True,True,True,True
PB-121,True,True,False,False
PB-122,True,True,True,False
PB-123,True,True,True,True
PB-124,True,True,True,True
PB-125,True,True,True,True
PB-126,True,True,True,True
PB-127,True,True,True,True
PB-128,True,True,True,True
PB-129,True,True,False,False
PB-130,True,True,True,True
PB-131,True,True,True,True
