pair_id,sample_ids,gt_labels,predictions,category
CF-REV-0001,PB-001;PB-399,"{""PB-001"": ""malicious"", ""PB-399"": ""benign""}","{""PB-001"": ""malicious"", ""PB-399"": ""benign""}",consistent_or_mixed
CF-REV-0002,PB-002;PB-412,"{""PB-002"": ""malicious"", ""PB-412"": ""benign""}","{""PB-002"": ""malicious"", ""PB-412"": ""benign""}",consistent_or_mixed
CF-REV-0003,PB-021;PB-425,"{""PB-021"": ""malicious"", ""PB-425"": ""benign""}","{""PB-021"": ""malicious"", ""PB-425"": ""benign""}",consistent_or_mixed
CF-REV-0004,PB-022;PB-437,"{""PB-022"": ""malicious"", ""PB-437"": ""benign""}","{""PB-022"": ""malicious"", ""PB-437"": ""benign""}",consistent_or_mixed
CF-REV-0005,PB-031;PB-450,"{""PB-031"": ""malicious"", ""PB-450"": ""benign""}","{""PB-031"": ""malicious"", ""PB-450"": ""benign""}",consistent_or_mixed
CF-REV-0006,PB-044;PB-463,"{""PB-044"": ""malicious"", ""PB-463"": ""benign""}","{""PB-044"": ""malicious"", ""PB-463"": ""benign""}",consistent_or_mixed
CF-REV-0007,PB-057;PB-476,"{""PB-057"": ""malicious"", ""PB-476"": ""benign""}","{""PB-057"": ""malicious"", ""PB-476"": ""benign""}",consistent_or_mixed
CF-REV-0011,PB-109;PB-511,"{""PB-109"": ""malicious"", ""PB-511"": ""benign""}","{""PB-109"": ""malicious"", ""PB-511"": ""benign""}",consistent_or_mixed
CF-REV-0012,PB-122;PB-524,"{""PB-122"": ""malicious"", ""PB-524"": ""benign""}","{""PB-122"": ""malicious"", ""PB-524"": ""benign""}",consistent_or_mixed
CF-REV-0013,PB-134;PB-537,"{""PB-134"": ""malicious"", ""PB-537"": ""benign""}","{""PB-134"": ""malicious"", ""PB-537"": ""benign""}",consistent_or_mixed
CF-REV-0014,PB-147;PB-550,"{""PB-147"": ""malicious"", ""PB-550"": ""benign""}","{""PB-147"": ""malicious"", ""PB-550"": ""benign""}",consistent_or_mixed
CF-REV-0015,PB-003;PB-400,"{""PB-003"": ""malicious"", ""PB-400"": ""benign""}","{""PB-003"": ""malicious"", ""PB-400"": ""benign""}",consistent_or_mixed
CF-REV-0016,PB-020;PB-413,"{""PB-020"": ""malicious"", ""PB-413"": ""benign""}","{""PB-020"": ""malicious"", ""PB-413"": ""benign""}",consistent_or_mixed
CF-REV-0017,PB-023;PB-426,"{""PB-023"": ""malicious"", ""PB-426"": ""benign""}","{""PB-023"": ""malicious"", ""PB-426"": ""benign""}",consistent_or_mixed
CF-REV-0018,PB-032;PB-438,"{""PB-032"": ""malicious"", ""PB-438"": ""benign""}","{""PB-032"": ""malicious"", ""PB-438"": ""benign""}",consistent_or_mixed
CF-REV-0019,PB-045;PB-451,"{""PB-045"": ""malicious"", ""PB-451"": ""benign""}","{""PB-045"": ""benign"", ""PB-451"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0020,PB-058;PB-464,"{""PB-058"": ""malicious"", ""PB-464"": ""benign""}","{""PB-058"": ""malicious"", ""PB-464"": ""benign""}",consistent_or_mixed
CF-REV-0021,PB-071;PB-477,"{""PB-071"": ""malicious"", ""PB-477"": ""benign""}","{""PB-071"": ""malicious"", ""PB-477"": ""benign""}",consistent_or_mixed
CF-REV-0022,PB-084;PB-489,"{""PB-084"": ""malicious"", ""PB-489"": ""benign""}","{""PB-084"": ""malicious"", ""PB-489"": ""benign""}",consistent_or_mixed
CF-REV-0025,PB-123;PB-512,"{""PB-123"": ""malicious"", ""PB-512"": ""benign""}","{""PB-123"": ""malicious"", ""PB-512"": ""benign""}",consistent_or_mixed
CF-REV-0026,PB-135;PB-525,"{""PB-135"": ""malicious"", ""PB-525"": ""benign""}","{""PB-135"": ""malicious"", ""PB-525"": ""benign""}",consistent_or_mixed
CF-REV-0027,PB-004;PB-401,"{""PB-004"": ""malicious"", ""PB-401"": ""benign""}","{""PB-004"": ""malicious"", ""PB-401"": ""benign""}",consistent_or_mixed
CF-REV-0028,PB-005;PB-414,"{""PB-005"": ""malicious"", ""PB-414"": ""benign""}","{""PB-005"": ""malicious"", ""PB-414"": ""benign""}",consistent_or_mixed
CF-REV-0030,PB-033;PB-439,"{""PB-033"": ""malicious"", ""PB-439"": ""benign""}","{""PB-033"": ""malicious"", ""PB-439"": ""benign""}",consistent_or_mixed
CF-REV-0031,PB-046;PB-452,"{""PB-046"": ""malicious"", ""PB-452"": ""benign""}","{""PB-046"": ""malicious"", ""PB-452"": ""benign""}",consistent_or_mixed
CF-REV-0032,PB-059;PB-465,"{""PB-059"": ""malicious"", ""PB-465"": ""benign""}","{""PB-059"": ""malicious"", ""PB-465"": ""benign""}",consistent_or_mixed
CF-REV-0033,PB-072;PB-478,"{""PB-072"": ""malicious"", ""PB-478"": ""benign""}","{""PB-072"": ""benign"", ""PB-478"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0034,PB-085;PB-490,"{""PB-085"": ""malicious"", ""PB-490"": ""benign""}","{""PB-085"": ""malicious"", ""PB-490"": ""benign""}",consistent_or_mixed
CF-REV-0037,PB-124;PB-513,"{""PB-124"": ""malicious"", ""PB-513"": ""benign""}","{""PB-124"": ""benign"", ""PB-513"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0038,PB-136;PB-526,"{""PB-136"": ""malicious"", ""PB-526"": ""benign""}","{""PB-136"": ""malicious"", ""PB-526"": ""benign""}",consistent_or_mixed
CF-REV-0039,PB-006;PB-402,"{""PB-006"": ""malicious"", ""PB-402"": ""benign""}","{""PB-006"": ""malicious"", ""PB-402"": ""benign""}",consistent_or_mixed
CF-REV-0040,PB-007;PB-415,"{""PB-007"": ""malicious"", ""PB-415"": ""benign""}","{""PB-007"": ""malicious"", ""PB-415"": ""benign""}",consistent_or_mixed
CF-REV-0041,PB-034;PB-427,"{""PB-034"": ""malicious"", ""PB-427"": ""benign""}","{""PB-034"": ""malicious"", ""PB-427"": ""benign""}",consistent_or_mixed
CF-REV-0042,PB-047;PB-440,"{""PB-047"": ""malicious"", ""PB-440"": ""benign""}","{""PB-047"": ""malicious"", ""PB-440"": ""benign""}",consistent_or_mixed
CF-REV-0043,PB-060;PB-453,"{""PB-060"": ""malicious"", ""PB-453"": ""benign""}","{""PB-060"": ""benign"", ""PB-453"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0044,PB-073;PB-466,"{""PB-073"": ""malicious"", ""PB-466"": ""benign""}","{""PB-073"": ""malicious"", ""PB-466"": ""benign""}",consistent_or_mixed
CF-REV-0045,PB-086;PB-479,"{""PB-086"": ""malicious"", ""PB-479"": ""benign""}","{""PB-086"": ""malicious"", ""PB-479"": ""benign""}",consistent_or_mixed
CF-REV-0046,PB-099;PB-491,"{""PB-099"": ""malicious"", ""PB-491"": ""benign""}","{""PB-099"": ""malicious"", ""PB-491"": ""benign""}",consistent_or_mixed
CF-REV-0049,PB-137;PB-514,"{""PB-137"": ""malicious"", ""PB-514"": ""benign""}","{""PB-137"": ""malicious"", ""PB-514"": ""benign""}",consistent_or_mixed
CF-REV-0050,PB-150;PB-527,"{""PB-150"": ""malicious"", ""PB-527"": ""benign""}","{""PB-150"": ""malicious"", ""PB-527"": ""benign""}",consistent_or_mixed
CF-REV-0051,PB-162;PB-540,"{""PB-162"": ""malicious"", ""PB-540"": ""benign""}","{""PB-162"": ""malicious"", ""PB-540"": ""benign""}",consistent_or_mixed
CF-REV-0052,PB-170;PB-553,"{""PB-170"": ""malicious"", ""PB-553"": ""benign""}","{""PB-170"": ""malicious"", ""PB-553"": ""benign""}",consistent_or_mixed
CF-REV-0053,PB-008;PB-403,"{""PB-008"": ""malicious"", ""PB-403"": ""benign""}","{""PB-008"": ""benign"", ""PB-403"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0054,PB-025;PB-416,"{""PB-025"": ""malicious"", ""PB-416"": ""benign""}","{""PB-025"": ""malicious"", ""PB-416"": ""benign""}",consistent_or_mixed
CF-REV-0055,PB-035;PB-428,"{""PB-035"": ""malicious"", ""PB-428"": ""benign""}","{""PB-035"": ""benign"", ""PB-428"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0056,PB-048;PB-441,"{""PB-048"": ""malicious"", ""PB-441"": ""benign""}","{""PB-048"": ""benign"", ""PB-441"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0057,PB-061;PB-454,"{""PB-061"": ""malicious"", ""PB-454"": ""benign""}","{""PB-061"": ""benign"", ""PB-454"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0058,PB-074;PB-467,"{""PB-074"": ""malicious"", ""PB-467"": ""benign""}","{""PB-074"": ""benign"", ""PB-467"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0059,PB-087;PB-480,"{""PB-087"": ""malicious"", ""PB-480"": ""benign""}","{""PB-087"": ""benign"", ""PB-480"": ""benign""}",insensitive_to_counterfactual_label_change
CF-REV-0060,PB-100;PB-492,"{""PB-100"": ""malicious"", ""PB-492"": ""benign""}","{""PB-100"": ""malicious"", ""PB-492"": ""benign""}",consistent_or_mixed
CF-REV-0061,PB-113;PB-495,"{""PB-113"": ""malicious"", ""PB-495"": ""benign""}","{""PB-113"": ""benign"", ""PB-495"": ""benign""}",insensitive_to_counterfactual_label_change
