sample_id,expected_outcome,predicted_label,coverage_state,risk_chain_status,security_resolution_status,correct
PB-001,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-002,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-003,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-004,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-005,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-006,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-007,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-008,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-009,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-010,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-011,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-012,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-013,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-014,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-015,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-016,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-017,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-018,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-019,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-020,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-021,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-022,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-023,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-024,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-025,confirmed_violation,malicious,path_incomplete,confirmed_allowed,unresolved_execution,True
PB-026,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-027,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-028,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-029,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-030,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-031,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-032,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-033,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-034,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-035,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-036,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-037,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-038,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-039,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-040,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-041,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-042,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-043,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-044,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-045,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-046,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-047,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-048,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-049,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-050,confirmed_violation,benign,max_steps_exhausted,confirmed_allowed,unresolved_before_guard,False
PB-051,confirmed_violation,benign,target_reached_no_flow,no_sensitive_flow_observed,resolved_no_flow,False
PB-052,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-053,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-054,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-055,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-056,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-057,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-058,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-059,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-060,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-061,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-062,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-063,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-064,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-065,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-066,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-067,confirmed_violation,malicious,timeout,no_sensitive_flow_observed,unresolved_before_sink,True
PB-068,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-069,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-070,confirmed_violation,benign,complete,confirmed_allowed,resolved_allowed,False
PB-071,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-072,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-073,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-074,confirmed_violation,benign,path_incomplete,confirmed_allowed,unresolved_execution,False
PB-075,confirmed_violation,benign,complete,confirmed_allowed,resolved_allowed,False
PB-076,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-077,confirmed_violation,malicious,execution_failed,no_sensitive_flow_observed,unresolved_before_sink,True
PB-078,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
PB-079,confirmed_violation,malicious,environment_missing,no_sensitive_flow_observed,unresolved_before_sink,True
PB-080,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-081,confirmed_violation,benign,path_incomplete,confirmed_allowed,resolved_allowed,False
PB-082,confirmed_violation,malicious,complete,confirmed_violation,resolved_violation,True
