sample_id,expected_outcome,predicted_label,evidence_strengths,carrier_types,chain_count,complete_chain_recovered,confirmed_violation_chain
PB-001,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-002,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-003,confirmed_violation,malicious,,,0,False,False
PB-004,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-005,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-006,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-007,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-008,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-009,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-010,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-011,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-012,confirmed_violation,malicious,,,0,False,False
PB-013,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-014,confirmed_violation,malicious,,,0,False,False
PB-015,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-016,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-017,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-018,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-019,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-020,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-021,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-022,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-023,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-024,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-025,confirmed_violation,malicious,structured_relation,http_body;llm_context,2,False,False
PB-026,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-027,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-028,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-029,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-030,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-031,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-032,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-033,confirmed_violation,malicious,,,0,False,False
PB-034,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-035,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-036,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-037,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-038,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-039,confirmed_violation,malicious,,,0,False,False
PB-040,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-041,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-042,confirmed_violation,malicious,,,0,False,False
PB-043,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-044,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-045,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-046,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-047,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-048,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-049,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-050,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-051,confirmed_violation,benign,,,0,False,False
PB-052,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-053,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-054,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-055,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-056,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-057,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-058,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-059,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-060,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-061,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-062,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-063,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-064,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-065,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-066,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-067,confirmed_violation,malicious,,,0,False,False
PB-068,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-069,confirmed_violation,malicious,,,0,False,False
PB-070,confirmed_violation,benign,structured_relation,http_body;llm_context,2,False,False
PB-071,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-072,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-073,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-074,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-075,confirmed_violation,benign,structured_relation,http_body;llm_context,2,False,False
PB-076,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-077,confirmed_violation,malicious,,,0,False,False
PB-078,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-079,confirmed_violation,malicious,,,0,False,False
PB-080,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-081,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-082,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-083,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-084,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-085,confirmed_violation,malicious,,,0,False,False
PB-086,confirmed_violation,malicious,,,0,False,False
PB-087,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-088,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-089,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-090,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-091,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-092,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-093,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-094,confirmed_violation,malicious,,,0,False,False
PB-095,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-096,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-097,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-098,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-099,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-100,confirmed_violation,malicious,structured_relation,llm_context,1,False,False
PB-101,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-102,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-103,confirmed_violation,malicious,,,0,False,False
PB-104,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-105,confirmed_violation,malicious,,,0,False,False
PB-106,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-107,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-108,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-109,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-110,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-111,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-112,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-113,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-114,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-115,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-116,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-117,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-118,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-119,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-120,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-121,confirmed_violation,malicious,,,0,False,False
PB-122,confirmed_violation,malicious,,,0,False,False
PB-123,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-124,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-125,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-126,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-127,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-128,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-129,confirmed_violation,malicious,,,0,False,False
PB-130,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-131,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-132,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-133,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-134,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-135,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-136,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-137,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-138,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-139,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-140,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-141,confirmed_violation,benign,,,0,False,False
PB-142,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-143,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-144,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-145,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-146,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-147,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-148,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-149,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-150,confirmed_violation,malicious,,,0,False,False
PB-151,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-152,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-153,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-154,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-155,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-156,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-157,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-158,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-159,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-160,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-161,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-162,confirmed_violation,malicious,,,0,False,False
PB-163,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-164,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-165,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-166,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-167,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-168,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-169,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-170,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-171,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-172,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-173,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-174,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-175,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-176,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-177,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-178,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-179,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-180,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-181,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-182,confirmed_violation,malicious,,,0,False,False
PB-183,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-184,confirmed_violation,malicious,,,0,False,False
PB-185,confirmed_violation,malicious,,,0,False,False
PB-186,confirmed_violation,malicious,,,0,False,False
PB-187,confirmed_violation,malicious,,,0,False,False
PB-188,confirmed_violation,malicious,,,0,False,False
PB-189,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-190,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-191,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-192,confirmed_violation,malicious,,,0,False,False
PB-193,confirmed_violation,malicious,,,0,False,False
PB-194,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-195,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-196,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-197,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-198,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-199,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-200,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-201,confirmed_violation,malicious,,,0,False,False
PB-202,confirmed_violation,malicious,structured_relation,http_body,1,False,True
PB-203,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-204,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-205,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-206,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-207,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-208,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-209,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-210,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-211,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-212,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-213,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-214,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-215,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-216,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-217,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-218,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-219,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-220,confirmed_violation,malicious,,,0,False,False
PB-221,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-222,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-223,confirmed_violation,malicious,structured_relation,http_body,1,True,True
PB-224,confirmed_violation,benign,structured_relation,llm_context,1,False,False
PB-225,confirmed_violation,malicious,,,0,False,False
PB-226,confirmed_violation,malicious,structured_relation,http_body,1,True,True
