sample_id,gold_operation,canonical_operation,operation_status,gold_from,from_match_status,from_matched_prediction,gold_to,to_match_status,to_matched_prediction,predicted_operations,predicted_edge_count
PB-001,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:28bf8654e604340c,deliver;transform,2
PB-001,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:28bf8654e604340c,vault-handoff-payload.txt,ontology_only,data:28bf8654e604340c,deliver;transform,2
PB-001,deliver,deliver,operation_matched,vault-handoff-payload.txt,ontology_only,data:28bf8654e604340c,http://localhost:20001/vault-desk,exact,http://localhost:20001/vault-desk,deliver;transform,2
PB-002,stage,transform,operation_matched,vault/recovery-card.md:RECOVERY_PHRASE,granularity_path_vs_field,vault/recovery-card.md vault/recovery-card.md  vault/recovery-card.md,vault-handoff-staging.md,ontology_only,data:5809ca0155313767,deliver;transform,2
PB-002,transform,transform,operation_matched,vault-handoff-staging.md,ontology_only,data:5809ca0155313767,vault-handoff-payload.txt,ontology_only,data:5809ca0155313767,deliver;transform,2
PB-002,deliver,deliver,operation_matched,vault-handoff-payload.txt,ontology_only,data:5809ca0155313767,http://localhost:20002/vault-desk,exact,http://localhost:20002/vault-desk,deliver;transform,2
PB-003,stage,transform,operation_missing,exports/care-roster.csv:callback_route,missing_prediction,,care-roster-staging.md,missing_prediction,,,0
PB-003,transform,transform,operation_missing,care-roster-staging.md,missing_prediction,,care-roster-payload.txt,missing_prediction,,,0
PB-003,deliver,deliver,operation_missing,care-roster-payload.txt,missing_prediction,,http://localhost:20003/care-intake,missing_prediction,,,0
PB-004,stage,transform,operation_matched,internal/model-note.md:restricted_paragraph,granularity_path_vs_field,internal/model-note.md internal/model-note.md  internal/model-note.md,model-brief-staging.md,ontology_only,data:8a6ee1a8a2b405cf,deliver;transform,2
