writing_style_family,n,confirmed_chain_recall,complete_chain_recall,exact_chain_match_rate,coverage_failure_rate
FAQ,65,0.36923076923076925,0.2923076923076923,0.0,0.6153846153846154
data handling guide,61,0.32786885245901637,0.3114754098360656,0.0,0.6557377049180327
incident procedure,64,0.46875,0.375,0.0,0.53125
integration guide,65,0.38461538461538464,0.3230769230769231,0.0,0.6
maintenance note,64,0.375,0.3125,0.0,0.625
migration guide,64,0.328125,0.296875,0.0,0.671875
onboarding note,65,0.3230769230769231,0.2923076923076923,0.0,0.6615384615384615
operator checklist,66,0.2727272727272727,0.25757575757575757,0.0,0.7121212121212122
policy memo,67,0.43283582089552236,0.373134328358209,0.0,0.5522388059701493
release note,66,0.3484848484848485,0.3181818181818182,0.0,0.6515151515151515
runbook,64,0.359375,0.328125,0.0,0.640625
troubleshooting page,65,0.4153846153846154,0.3076923076923077,0.0,0.6
